PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE
HBANM,HBANM,HBAN,,,9,11/15/2024,,,0.36,5.70%,25.47,17.08,1456.736712,REGIONAL BANK,,,
HBANP,HBANP,HBAN,,,10,01/02/2025,,,0.28,4.50%,20.81,14.07,1456.736712,REGIONAL BANK,,,
HFRO PRA,HFRO-A,HFRO,,,16,12/20/2024,,,0.34,5.38%,23.45,17.01,55.32612967,CEF,,,
HIG PRG,HIG-G,HIG,,,11,01/30/2025,11/15/2023,,0.38,6.00%,26.06,22.89,284.0909091,Insurance,,,
HWCPZ,HWCPZ,HWC,,BB,11,11/27/2024,6/15/2025,,0.39,6.25%,26.56,22.45,85.60859609,REGIONAL BANK,,,
INN PRE,INN-E,INN,,,8,11/13/2024,11/13/2022,,0.39,6.25%,21.22,18.14,128.1540179,REIT,,,
INN PRF,INN-F,INN,,,8,11/13/2024,8.12.2026,,0.37,5.88%,21.02,18.07,128.1540179,REIT,,,
JPM PRC,JPM-C,JPM,,,11.5,10/29/2024,3.01.2024,,0.38,6.00%,26.01,24.11,2779.07759,BANK,,,
JPM PRD,JPM-D,JPM,,,11.5,10/29/2024,,,0.36,5.75%,25.75,23.03,2779.07759,BANK,,,
JPM PRJ,JPM-J,JPM,,,11.5,10/29/2024,,,0.3,4.75%,23.74,19.38,2779.07759,BANK,,,
JPM PRK,JPM-K,JPM,,,11.5,10/29/2024,,,0.28,4.55%,21.65,18.67,2779.07759,BANK,,,
JPM PRL,JPM-L,JPM,,,11.5,10/29/2024,,,0.29,4.63%,21.62,18.94,2779.07759,BANK,,,
JPM PRM,JPM-M,JPM,,,11.5,10/29/2024,,,0.26,4.20%,20.07,17.17,2779.07759,BANK,,,
JSM,JSM,NAVI,,BB,7.5,12/13/2024,,,0.38,6.00%,23.05,16.07,101.0174419,Credit Services,,,
KEY PRJ,KEY-J,KEY,,,10.5,11/27/2024,,,0.35,5.65%,25.36,16.17,1096.211666,REGIONAL BANK,,,
KEY PRK,KEY-K,KEY,,,10.5,11/27/2024,,,0.35,5.63%,26.17,16.05,1096.211666,REGIONAL BANK,,,
KIM PRL,KIM-L,KIM,,,11.5,12/27/2024,,,0.32,5.13%,25.42,19.02,676.3485477,REIT,,,
KIM PRM,KIM-M,KIM,,,11.5,12/27/2024,,,0.33,5.25%,25.04,19.83,676.3485477,REIT,,,
KREF PRA,KREF-A,KREF,,,8,11/27/2024,4/16/2026,,0.41,6.50%,23.37,16.18,68.01260504,REIT,,,
MBINN,MBINN,MBIN,,,8,12/13/2024,,,0.38,6.00%,24.23,16.05,45.84956548,REGIONAL BANK,,,
MET PRE,MET-E,MET,,,12,11/27/2024,,,0.35,5.63%,26.05,21.22,671.2854138,Insurance,,,
MET PRF,MET-F,MET,,,12,11/27/2024,,,0.3,4.75%,24.56,18.05,671.2854138,Insurance,,,
MFA PRB,MFA-B,MFA,,,8,11/27/2024,4/15/2018,,0.47,7.50%,21.92,18.34,102.8513238,REIT,,,
MGR,MGR,AMG,,BB,12,12/27/2024,,,0.37,5.88%,26.29,19.06,28.40320558,Asset Management,,,
MGRB,MGRB,AMG,,BB,12,12/27/2024,,,0.3,4.75%,22.01,16.09,28.40320558,Asset Management,,,
MGRD,MGRD,AMG,,BB,12,12/27/2024,,,0.26,4.20%,19.05,15.18,28.40320558,Asset Management,,,
MS PRK,MS-K,MS,,,11,12/27/2024,,,0.37,5.85%,26.38,21.04,1604.327432,BANK,,,
MS PRL,MS-L,MS,,,11,12/27/2024,,,0.3,4.88%,24,18.32,1604.327432,BANK,,,
MS PRO,MS-O,MS,,,11,12/27/2024,,,0.27,4.25%,20.77,15.09,1604.327432,BANK,,,
NCV PRA,NCV-A,NCV,,,8,06/13/2025,,,0.35,5.63%,24.28,20.92,22.59349593,CEF,,,
NCZ PRA,NCZ-A,NCZ,,,8,06/13/2025,,,0.34,5.50%,24.28,20.05,19.02924452,CEF,,,
NEE PRN,NEE-N,NEE,,BB,12,11/27/2024,,,0.35,5.65%,26.15,22.13,2058.666667,Utilities,,,
NRUC,NRUC,-,,BB,13,01/30/2025,,,0.34,5.50%,25.22,21.75,#VALUE!,,,,
NSA PRA,NSA-A,NSA,,,8,12/13/2024,,,0.38,6.00%,25.03,20.65,134.2592593,REIT,,,
NTRSO,NTRSO,NTRS,,,13,12/13/2024,,,0.29,4.70%,24.85,18.03,194.5319741,Asset Management,,,
NYMTZ,NYMTZ,NYMT,,,8,01/02/2025,,,0.44,7.00%,19.78,16.06,90.29775281,REIT,,,
OPP PRA,OPP-A,OPP,,,16,08/01/2025,,,0.27,4.38%,20.87,16.98,23.82185273,CEF,,,
OPP PRB,OPP-B,OPP,,,16,08/01/2025,2/15/2027,,0.3,4.75%,21.43,18.07,23.82185273,CEF,,,
OZKAP,OZKAP,OZK,,,9,01/28/2025,11/15/2026,,0.29,4.63%,20.78,14.61,113.3603239,REGIONAL BANK,,,
PEB PRE,PEB-E,PEB,,,8,12/27/2024,,,0.4,6.38%,24.71,18.32,118.226601,REIT,,,
PEB PRF,PEB-F,PEB,,,8,12/27/2024,,,0.39,6.30%,23.52,18.56,118.226601,REIT,,,
PEB PRG,PEB-G,PEB,,,8,12/27/2024,,,0.4,6.38%,23.04,18,118.226601,REIT,,,
PEB PRH,PEB-H,PEB,,,8,12/27/2024,,,0.36,5.70%,21.01,16.38,118.226601,REIT,,,
PFH,PFH,PRU,,BB,13,11/15/2024,9.01.2025,,0.26,4.13%,22.61,17.35,353.9550918,Insurance,,,
PRH,PRH,PRU,,BB,13,11/15/2024,,,0.37,5.95%,,23.79,353.9550918,Insurance,,,
PRS,PRS,PRU,,BB,13,01/30/2025,8/15/2023,,0.35,5.63%,26.16,22.52,353.9550918,Insurance,,,
PSA PRF,PSA-F,PSA,,,13.5,03/14/2025,,,0.32,5.15%,25.84,20.87,175.4164645,REIT,,,
PSA PRG,PSA-G,PSA,,,13.5,03/14/2025,,,0.32,5.05%,25.87,21.11,175.4164645,REIT,,,
PSA PRH,PSA-H,PSA,,,13.5,03/14/2025,,,0.35,5.60%,26.96,22.76,175.4164645,REIT,,,
PSA PRI,PSA-I,PSA,,,13.5,03/14/2025,,,0.3,4.88%,25.08,19.44,175.4164645,REIT,,,
PSA PRJ,PSA-J,PSA,,,13.5,03/14/2025,,,0.29,4.70%,25.08,18.25,175.4164645,REIT,,,
PSA PRK,PSA-K,PSA,,,13.5,03/14/2025,,,0.3,4.75%,25.08,18.04,175.4164645,REIT,,,
PSA PRL,PSA-L,PSA,,,13.5,03/14/2025,,,0.29,4.63%,24.84,18.17,175.4164645,REIT,,,
PSA PRM,PSA-M,PSA,,,13.5,03/14/2025,,,0.26,4.13%,22.79,16.05,175.4164645,REIT,,,
PSA PRN,PSA-N,PSA,,,13.5,03/14/2025,,,0.24,3.88%,21.02,15.12,175.4164645,REIT,,,
PSA PRO,PSA-O,PSA,,,13.5,03/14/2025,11/17/2025,,0.24,3.90%,20.29,15.53,175.4164645,REIT,,,
PSA PRP,PSA-P,PSA,,,13.5,03/14/2025,,,0.25,4.00%,20.88,15.54,175.4164645,REIT,,,
PSA PRQ,PSA-Q,PSA,,,13.5,03/14/2025,,,0.25,3.95%,20.84,15.31,175.4164645,REIT,,,
PSA PRR,PSA-R,PSA,,,13.5,03/14/2025,,,0.25,4.00%,20.78,15.59,175.4164645,REIT,,,
PSA PRS,PSA-S,PSA,,,13.5,03/14/2025,,,0.26,4.10%,21.15,15.83,175.4164645,REIT,,,
PSEC PRA,PSEC-A,PSEC,,,9,10/16/2024,7/19/2026,,0.33,5.35%,19.55,15.21,452.5745257,Asset Management,,,
REGCO,REGCO,REG,,,8,10/16/2024,,,0.37,5.88%,,21.85,182.6063397,REIT,,,
REGCP,REGCP,REG,,,8,10/16/2024,,,0.39,6.25%,,23.01,182.6063397,REIT,,,
REXR PRB,REXR-B,REXR,,,8,12/13/2024,,,0.37,5.88%,25.39,21.16,236.5621501,REIT,,,
REXR PRC,REXR-C,REXR,,,8,11/15/2024,,,0.35,5.63%,26.01,20.05,236.5621501,REIT,,,
RF PRE,RF-E,RF,,,10,11/27/2024,,,0.28,4.45%,20.69,15.45,899.0703851,REGIONAL BANK,,,
RNR PRF,RNR-F,RNR,,,12,11/27/2024,,,0.36,5.75%,25.11,20.71,48.63876473,Insurance,,,
RNR PRG,RNR-G,RNR,,,12,11/27/2024,,,0.26,4.20%,20.02,15.35,48.63876473,Insurance,,,
SCE PRG,SCE-G,EIX,,TP,10,12/13/2024,,,0.32,5.10%,20.73,17.02,384.7859458,Utilities,,,
SCE PRL,SCE-L,EIX,,TP,10,12/13/2024,,,0.31,5.00%,20.24,16.94,384.7859458,Utilities,,,
SCHW PRD,SCHW-D,SCHW,,,12,11/13/2024,,,0.37,5.95%,25.94,22.65,1817.003044,Financial,,,
SCHW PRJ,SCHW-J,SCHW,,,12,11/13/2024,,,0.28,4.45%,23.04,16.75,1817.003044,Financial,,,
SF PRB,SF-B,SF,,,8,02/28/2025,,,0.39,6.25%,26.94,22.01,102.7715962,Financial,,,
SF PRC,SF-C,SF,,,8,02/28/2025,,,0.38,6.13%,27,22.12,102.7715962,Financial,,,
SF PRD,SF-D,SF,,,8,02/28/2025,,,0.28,4.50%,20.54,15.64,102.7715962,Financial,,,
SHO PRH,SHO-H,SHO,,,8,12/27/2024,,,0.38,6.13%,23.75,20.04,198.4304933,REIT,,,
SHO PRI,SHO-I,SHO,,,8,12/27/2024,,,0.36,5.70%,22.98,19.43,198.4304933,REIT,,,
SIGIP,SIGIP,SIGI,,,10,11/27/2024,,,0.29,4.60%,20.74,15.48,60.73633404,Insurance,,,
SLG PRI,SLG-I,SLG,,,9.5,12/17/2024,,,0.41,6.50%,25.67,18.15,75.99455967,REIT,,,
SOJC,SOJC,SO,,BB,11.5,11/29/2024,,,0.33,5.25%,25.69,20.75,1099.086912,Utilities,,,
SOJD,SOJD,SO,,BB,11.5,10/29/2024,,,0.31,4.95%,23.86,19.45,1099.086912,Utilities,,,
SOJE,SOJE,SO,,BB,11.5,01/10/2025,,,0.26,4.20%,20.96,17.42,1099.086912,Utilities,,,
SR PRA,SR-A,SR,,,11,10/25/2024,8/15/2024,,0.37,5.90%,26.15,21.87,59.06424772,Utilities,,,
SREA,SREA,SRE,,BB,11.5,12/13/2024,,,0.36,5.75%,25.24,21.16,652.1066873,Utilities,,,
STT PRG,STT-G,STT,,,13,11/27/2024,,,0.33,5.35%,26.09,21.63,285.1765185,Asset Management,,,
SYF PRA,SYF-A,SYF,,,8,10/30/2024,11/15/2024,,0.35,5.63%,22.14,15.28,380.5921053,Financial,,,
T PRA,T-A,T,,,10,01/07/2025,,,0.31,5.00%,23.49,18.31,7195.526696,Communication Services,,,
T PRC,T-C,T,,,10,01/07/2025,2/18/2025,,0.3,4.75%,21.55,17.25,7195.526696,Communication Services,,,
TBB,TBB,T,,BB,12,10/17/2024,,,0.33,5.35%,24.98,20.32,7195.526696,Communication Services,,,
TCBIO,TCBIO,TCBI,,,8,06/02/2025,6/15/2026,,0.36,5.75%,24.05,16.01,45.89212713,REGIONAL BANK,,,
TDS PRU,TDS-U,TDS,,,7,12/13/2024,,,0.41,6.63%,24.25,14.26,107.0712854,Communication Services,,,
TDS PRV,TDS-V,TDS,,,7,12/13/2024,9/30/2026,,0.38,6.00%,22.28,12.88,107.0712854,Communication Services,,,
TFC PRO,TFC-O,TFC,,,11.5,02/08/2025,,,0.33,5.25%,25.02,19.78,1309.42029,REGIONAL BANK,,,
TFC PRR,TFC-R,TFC,,,11.5,02/08/2025,,,0.3,4.75%,22.49,17.71,1309.42029,REGIONAL BANK,,,
TRTN PRD,TRTN-D,-,,,8,06/09/2025,3/15/2025,,0.43,6.88%,25.95,21.62,#VALUE!,,,,
TRTN PRE,TRTN-E,-,,,8,06/09/2025,,,0.36,5.75%,23.79,17.08,#VALUE!,,,,
TRTX PRC,TRTX-C,TRTX,,,8,12/16/2024,6/14/2026,,0.39,6.25%,18.83,13.81,1,REIT,,,
UNMA,UNMA,UNM,,BB,10,11/29/2024,,,0.39,6.25%,26.19,21.92,174.3152769,Insurance,,,
USB PRP,USB-P,USB,,,13.5,12/30/2024,,,0.34,5.50%,25.25,19.75,1558.103295,REGIONAL BANK,,,
USB PRQ,USB-Q,USB,,,13.5,12/27/2024,,,0.23,3.75%,19.57,13.05,1558.103295,REGIONAL BANK,,,
USB PRR,USB-R,USB,,,13.5,12/27/2024,,,0.25,4.00%,21.05,14.57,1558.103295,REGIONAL BANK,,,
USB PRS,USB-S,USB,,,13.5,12/27/2024,,,0.28,4.50%,22.08,16.44,1558.103295,REGIONAL BANK,,,
UZD,UZD,USM,,BB,9.5,11/29/2024,9.01.2025,,0.39,6.25%,24.16,16.77,84.95145631,Communication Services,,,
