PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group
PEB PRE,PEB,,NR,12/27/2024,,,0.4,6.38,24.71,18.32,18.12,-0.2,-6.59,18.47,20.51,-1.89,-11.65,16.27,23.22,16.27,23.22,35.0,17.88,1.61,-5.34,56.33,76.3,42.71,77.6,-6.83,-0.44,81.3,76.05,-5.34,1.61,77.45,77.17,9528.0,10917.0,6730.0,9058.0,37.23,0.09,385.56,2.07,702.15,11
PEB PRF,PEB,,NR,12/27/2024,,,0.39,6.3,23.52,18.56,18.35,-0.21,-5.17,18.61,20.55,-1.42,-10.69,16.85,23.75,16.85,23.75,35.0,18.11,1.26,-5.64,53.57,72.11,52.34,81.93,-5.41,-0.45,66.78,76.14,-5.64,1.26,81.82,80.38,7596.0,9543.0,4934.0,7358.0,37.23,0.09,384.96,2.07,702.15,5
PEB PRG,PEB,,NR,12/27/2024,,,0.4,6.38,23.4,18.0,18.1,0.1,-5.3,18.65,20.28,-2.97,-10.75,16.6,23.18,16.6,23.18,35.0,17.86,1.26,-5.32,62.65,72.37,52.34,77.32,-5.54,-0.14,68.11,73.33,-5.32,1.26,77.15,80.38,10240.0,10645.0,14082.0,11656.0,37.23,0.09,387.79,2.07,702.15,5
PEB PRH,PEB,,NR,12/27/2024,,,0.36,5.7,21.01,16.38,16.95,0.57,-4.06,17.06,18.38,-0.65,-7.8,15.51,21.12,15.02,21.12,35.0,16.73,1.22,-4.39,49.06,59.49,53.44,63.91,-4.28,0.35,55.22,68.89,-4.39,1.71,63.58,76.25,11479.0,7684.0,4435.0,7866.0,37.23,0.08,345.58,2.07,702.15,5
PFH,PRU,BB,13,11/15/2024,9/1/2025,,0.26,4.13,22.61,17.35,17.14,-0.21,-5.47,17.93,19.13,-4.38,-10.41,16.84,21.59,16.84,21.59,83.0,17.12,0.28,-4.47,70.91,70.88,79.28,65.06,-5.49,-0.23,67.6,74.14,-4.47,0.28,64.74,89.36,29952.0,30035.0,27414.0,29134.0,72.85,0.06,453.18,2.07,702.15,9
PRH,PRU,BB,13,11/15/2024,,,0.37,5.95,,23.79,24.64,0.85,,24.88,25.57,-0.97,-3.64,23.59,26.89,23.17,26.95,83.0,24.61,1.02,-2.28,50.94,41.34,58.93,33.5,,0.82,34.08,64.63,-2.34,1.44,33.65,78.73,18740.0,23830.0,21828.0,21466.0,72.85,0.06,370.23,2.07,702.15,4
PRS,PRU,BB,13,11/1/2024,8/15/2023,,0.35,5.63,26.16,22.52,23.03,0.51,-3.13,23.36,24.23,-1.4,-4.94,22.35,25.42,22.31,25.42,69.0,22.95,0.6,-2.47,53.46,47.01,70.48,36.23,-3.21,0.43,44.27,68.17,-2.47,0.64,35.55,86.06,28435.0,31789.0,26744.0,28990.0,72.85,0.06,390.4,2.07,702.15,4
PSA PRF,PSA,,13.5,12/12/2024,,,0.32,5.15,25.84,20.87,20.92,0.05,-4.92,21.49,22.9,-2.67,-8.66,19.87,25.11,19.87,25.11,20.0,20.67,0.8,-4.44,60.89,63.25,64.98,64.63,-5.17,-0.2,64.32,73.87,-4.44,0.8,64.31,84.59,18536.0,17476.0,11441.0,15818.0,73.05,0.06,429.42,2.07,702.15,2
PSA PRG,PSA,,13.5,12/12/2024,,,0.32,5.05,25.87,21.11,20.85,-0.25,-5.01,21.35,22.71,-2.28,-8.14,19.99,25.0,19.99,25.06,20.0,20.61,0.62,-4.39,58.61,60.98,69.93,63.91,-5.26,-0.5,65.24,76.59,-4.45,0.62,64.45,86.24,16847.0,17527.0,13878.0,16084.0,73.05,0.06,429.34,2.07,702.15,2
PSA PRH,PSA,,13.5,12/12/2024,,,0.35,5.6,26.96,22.76,22.8,0.04,-4.16,23.36,24.39,-2.38,-6.51,20.85,25.7,20.85,26.1,20.0,22.53,1.68,-3.17,59.19,53.86,40.79,46.32,-4.43,-0.23,56.75,74.14,-3.57,1.68,51.61,76.53,19284.0,21737.0,13966.0,18329.0,73.05,0.06,396.63,2.07,702.15,4
PSA PRI,PSA,,13.5,12/12/2024,,,0.3,4.88,25.8,19.44,19.67,0.23,-6.13,20.33,21.65,-3.25,-9.16,19.08,23.72,19.08,23.94,20.0,19.44,0.36,-4.28,64.29,65.43,77.08,62.32,-6.36,0.0,76.5,72.06,-4.5,0.36,65.18,88.63,16988.0,13804.0,8882.0,13225.0,73.05,0.06,439.74,2.07,702.15,2
PSA PRJ,PSA,,13.5,12/12/2024,,,0.29,4.7,25.08,18.25,18.93,0.68,-6.15,19.53,20.74,-3.08,-8.72,18.33,23.21,17.94,23.21,20.0,18.7,0.37,-4.51,63.29,63.51,76.8,65.64,-6.38,0.45,76.7,67.98,-4.51,0.76,65.33,84.96,14638.0,16283.0,7618.0,12846.0,73.05,0.06,435.61,2.07,702.15,2
PSA PRK,PSA,,13.5,12/12/2024,,,0.3,4.75,25.8,18.4,19.31,0.91,-6.49,19.75,20.93,-2.25,-7.74,18.57,23.21,18.16,23.21,20.0,19.08,0.51,-4.13,58.43,59.23,72.96,60.16,-6.72,0.68,80.18,65.9,-4.13,0.92,59.78,83.49,16246.0,17808.0,33947.0,22667.0,73.05,0.06,425.4,2.07,702.15,2
PSA PRL,PSA,,13.5,12/12/2024,,,0.29,4.63,24.84,18.17,18.86,0.69,-5.98,19.31,20.43,-2.35,-7.7,17.52,22.89,17.52,22.89,20.0,18.63,1.11,-4.26,59.02,59.06,56.46,62.04,-6.21,0.46,74.96,67.89,-4.26,1.11,61.68,81.75,30601.0,27957.0,16492.0,25017.0,73.05,0.06,420.74,2.07,702.15,2
PSA PRM,PSA,,13.5,12/12/2024,,,0.26,4.13,22.79,16.05,16.85,0.8,-5.94,17.31,18.41,-2.68,-8.46,16.28,20.79,15.82,20.79,20.0,16.65,0.37,-4.14,60.95,62.37,76.8,60.31,-6.14,0.6,74.25,66.63,-4.14,0.83,59.93,84.32,9362.0,8612.0,6807.0,8260.0,73.05,0.06,427.14,2.07,702.15,2
PSA PRN,PSA,,13.5,12/12/2024,,,0.24,3.88,21.02,15.12,15.76,0.64,-5.26,16.21,17.14,-2.76,-8.08,15.36,19.23,14.9,19.23,20.0,15.57,0.21,-3.66,61.42,60.71,81.2,53.39,-5.45,0.45,67.19,67.98,-3.66,0.67,52.92,85.78,15330.0,18891.0,11771.0,15331.0,73.05,0.06,424.17,2.07,702.15,2
PSA PRO,PSA,,13.5,12/12/2024,11/17/2025,,0.24,3.9,20.29,15.53,15.9,0.37,-4.39,16.29,17.21,-2.42,-7.63,15.4,19.13,15.1,19.14,20.0,15.71,0.31,-3.42,59.43,58.75,78.45,49.93,-4.58,0.18,58.29,70.43,-3.43,0.61,49.56,86.33,14045.0,13820.0,6927.0,11597.0,73.05,0.06,416.4,2.07,702.15,2
PSA PRP,PSA,,13.5,12/12/2024,,,0.25,4.0,20.88,15.54,16.1,0.56,-4.78,16.68,17.71,-3.46,-9.08,15.39,19.99,15.37,19.99,20.0,15.91,0.52,-4.08,65.52,65.08,72.68,59.44,-4.97,0.37,62.28,68.71,-4.08,0.54,59.05,86.98,38651.0,33939.0,34308.0,35633.0,73.05,0.06,436.81,2.07,702.15,2
PSA PRQ,PSA,,13.5,12/12/2024,,,0.25,3.95,20.84,15.31,15.89,0.58,-4.95,16.39,17.41,-3.05,-8.72,15.43,19.47,15.17,19.47,20.0,15.7,0.27,-3.77,63.12,63.51,79.55,54.97,-5.14,0.39,64.02,68.53,-3.77,0.53,54.53,87.07,12144.0,12882.0,10315.0,11781.0,73.05,0.06,427.53,2.07,702.15,2
PSA PRR,PSA,,13.5,12/12/2024,,,0.25,4.0,20.78,15.59,16.12,0.53,-4.66,16.64,17.77,-3.11,-9.26,15.68,20.16,15.38,20.16,20.0,15.93,0.25,-4.23,63.47,65.86,80.1,61.6,-4.85,0.34,61.05,68.98,-4.23,0.55,61.24,86.88,27999.0,27763.0,22875.0,26212.0,73.05,0.06,437.87,2.07,702.15,2
PSA PRS,PSA,,13.5,12/12/2024,,,0.26,4.1,21.15,15.83,16.53,0.71,-4.61,17.04,18.17,-2.95,-9.0,14.18,20.47,14.18,20.47,20.0,16.34,2.16,-4.13,62.53,64.73,27.59,60.16,-4.81,0.51,60.64,67.44,-4.13,2.16,59.78,72.13,16958.0,18837.0,10119.0,15305.0,73.05,0.06,407.4,2.07,702.15,2
PSEC PRA,PSEC,,9,10/16/2024,7/19/2026,,0.33,5.35,19.55,15.21,17.29,2.09,-2.25,16.32,17.67,6.02,-2.09,14.58,21.54,14.04,21.54,53.0,17.16,2.58,-4.38,10.0,34.57,16.05,63.77,-2.39,1.95,35.88,54.39,-4.38,3.12,63.43,63.33,9060.0,9133.0,6375.0,8190.0,40.08,0.08,278.99,2.07,702.15,3
REGCO,REG,,NR,10/16/2024,,,0.37,5.88,,21.85,22.8,0.92,,22.47,22.72,1.33,0.2,21.43,24.7,21.2,24.9,53.0,22.62,1.19,-2.08,37.47,24.58,54.26,30.61,,0.77,34.08,65.08,-2.28,1.42,32.77,78.91,6036.0,5314.0,2595.0,4648.0,61.83,0.06,317.31,2.07,702.15,11
REGCP,REG,,NR,10/16/2024,,,0.39,6.25,,23.1,23.68,0.22,,23.47,23.73,-0.64,-1.74,21.88,25.63,21.88,25.63,53.0,23.16,1.28,-2.47,49.0,33.04,51.79,36.23,,0.06,34.08,71.52,-2.47,1.28,35.55,80.19,5509.0,5609.0,1200.0,4106.0,61.83,0.07,343.44,2.07,702.15,7
REXR PRB,REXR,,NR,12/13/2024,,,0.37,5.88,25.39,21.16,23.03,1.87,-2.36,23.1,22.76,-0.3,1.18,22.21,24.57,20.6,24.57,21.0,22.75,0.54,-1.82,47.01,20.3,72.13,26.86,-2.64,1.59,38.44,57.66,-1.82,2.15,26.06,72.22,5665.0,5222.0,2869.0,4585.0,45.08,0.06,282.63,2.07,702.15,7
REXR PRC,REXR,,NR,11/15/2024,,,0.35,5.63,26.1,20.05,21.85,1.8,-4.25,21.75,21.95,0.44,-0.48,20.13,24.54,19.71,24.54,83.0,21.82,1.69,-2.72,42.68,27.55,40.52,39.84,-4.28,1.77,55.22,56.02,-2.72,2.11,39.2,72.59,8159.0,6092.0,2762.0,5671.0,45.08,0.06,287.47,2.07,702.15,7
RF PRE,RF,,10,11/27/2024,,,0.28,4.45,20.69,15.45,17.41,1.96,-3.28,17.66,18.23,-1.42,-4.5,16.41,19.98,14.16,19.98,5.0,17.15,0.74,-2.83,53.57,45.09,66.63,41.42,-3.54,1.7,47.65,56.66,-2.83,2.99,40.8,64.52,28445.0,28875.0,28322.0,28547.0,61.71,0.06,355.68,2.07,702.15,10
RNR PRF,RNR,,12,11/27/2024,,,0.36,5.75,25.11,20.71,21.11,0.4,-4.0,22.03,23.26,-4.2,-9.26,20.8,25.08,20.43,25.1,5.0,20.77,-0.03,-4.31,69.85,65.86,87.8,62.76,-4.34,0.06,55.83,71.52,-4.33,0.34,62.7,88.81,14682.0,16324.0,18867.0,16624.0,65.1,0.07,434.2,2.07,702.15,2
RNR PRG,RNR,,12,11/27/2024,,,0.26,4.2,20.02,15.35,15.6,0.25,-4.42,16.18,17.43,-3.57,-10.51,14.26,18.97,14.26,19.46,5.0,15.35,1.09,-3.62,66.16,71.32,57.01,52.81,-4.67,0.0,59.21,72.06,-4.11,1.09,59.49,81.94,32448.0,31493.0,44309.0,36084.0,65.1,0.07,424.27,2.07,702.15,9
SCE PRG,EIX,TP,10,12/13/2024,,,0.32,5.1,20.73,17.2,16.95,-0.25,-3.78,17.7,19.62,-4.23,-13.61,16.32,21.69,16.32,21.7,21.0,16.7,0.38,-4.99,70.03,84.85,76.53,72.56,-4.03,-0.5,52.66,76.59,-5.0,0.38,72.48,88.44,17094.0,23475.0,11355.0,17308.0,56.28,0.08,444.18,2.07,702.15,1
SCE PRL,EIX,TP,10,12/13/2024,,,0.31,5.0,20.24,16.94,16.54,-0.4,-3.7,17.32,19.21,-4.51,-13.89,15.98,21.09,15.98,21.32,21.0,16.3,0.32,-4.79,71.67,86.07,78.18,69.68,-3.94,-0.64,51.74,77.86,-5.02,0.32,72.77,88.99,44232.0,56227.0,42255.0,47571.0,56.28,0.08,453.98,2.07,702.15,2
SCHW PRD,SCHW,,12,11/13/2024,,,0.37,5.95,25.94,22.65,24.75,2.1,-1.19,25.05,25.18,-1.21,-1.69,24.25,25.71,22.29,25.71,81.0,24.71,0.46,-1.0,52.34,32.83,74.33,15.05,-1.23,2.06,24.02,53.4,-1.0,2.42,14.09,69.75,40662.0,46914.0,48043.0,45206.0,80.76,0.06,368.62,2.07,702.15,4
SCHW PRJ,SCHW,,12,11/13/2024,,,0.28,4.45,23.4,16.75,19.13,2.38,-4.27,19.47,20.38,-1.75,-6.12,18.33,22.6,16.63,22.6,81.0,19.1,0.77,-3.5,55.51,52.16,65.81,51.08,-4.3,2.35,55.42,50.77,-3.5,2.47,50.58,69.29,52556.0,56441.0,59038.0,56012.0,80.76,0.06,417.47,2.07,702.15,9
SF PRB,SF,,8,12/2/2024,,,0.39,6.25,26.94,22.01,24.3,2.29,-2.64,24.19,24.57,0.44,-1.1,22.22,25.44,21.56,25.73,10.0,23.95,1.73,-1.49,42.68,30.25,39.42,22.11,-2.99,1.94,42.02,54.48,-1.78,2.39,25.47,70.02,6588.0,6762.0,10597.0,7982.0,56.46,0.06,298.75,2.07,702.15,1
SF PRC,SF,,8,12/2/2024,,,0.38,6.13,27.0,22.12,23.67,1.56,-3.32,24.01,24.53,-1.37,-3.45,21.81,26.47,21.27,26.47,10.0,23.34,1.53,-3.13,53.28,40.51,44.91,45.75,-3.66,1.22,48.87,61.01,-3.13,2.07,45.18,72.96,11320.0,10816.0,16025.0,12721.0,56.46,0.06,337.18,2.07,702.15,1
SF PRD,SF,,8,12/2/2024,,,0.28,4.5,20.54,15.64,18.12,2.48,-2.42,17.7,18.62,2.34,-2.7,15.85,21.74,15.0,21.74,10.0,17.87,2.02,-3.87,31.55,37.23,31.44,56.41,-2.67,2.23,38.75,51.86,-3.87,2.87,55.99,65.62,19338.0,15680.0,24017.0,19678.0,56.46,0.06,317.9,2.07,702.15,10
SHO PRH,SHO,,NR,12/27/2024,,,0.38,6.13,23.75,20.4,20.87,0.47,-2.88,20.86,21.73,0.05,-3.96,19.14,24.27,19.14,24.27,35.0,20.64,1.5,-3.63,44.96,42.73,45.74,52.95,-3.11,0.24,43.25,69.89,-3.63,1.5,52.48,78.18,7482.0,9213.0,4212.0,6969.0,44.12,0.07,323.68,2.07,702.15,5
SHO PRI,SHO,,NR,12/27/2024,,,0.36,5.7,22.98,19.43,19.85,0.43,-3.12,19.77,20.47,0.47,-2.98,17.96,22.79,17.96,22.79,35.0,19.64,1.68,-3.15,42.5,38.46,40.79,46.04,-3.34,0.21,45.6,70.16,-3.15,1.68,45.47,76.53,7604.0,8216.0,3548.0,6456.0,44.12,0.07,311.44,2.07,702.15,5
SIGIP,SIGI,,10,11/27/2024,,,0.29,4.6,20.74,15.48,17.2,1.81,-3.45,17.79,18.45,-2.79,-6.31,16.82,20.3,15.17,20.3,5.0,17.02,0.2,-3.28,61.6,52.99,81.48,47.91,-3.72,1.54,49.49,58.11,-3.28,1.85,47.37,74.97,5179.0,5137.0,2252.0,4189.0,57.82,0.07,375.44,2.07,702.15,1
SLG PRI,SLG,,9.5,12/17/2024,,,0.41,6.5,25.67,18.15,22.05,3.9,-3.62,22.66,22.77,-2.7,-3.15,21.09,24.87,15.26,24.87,25.0,21.75,0.66,-3.12,61.07,39.2,68.83,45.6,-3.92,3.6,51.53,39.45,-3.12,6.49,45.04,32.45,14893.0,11820.0,6441.0,11052.0,29.95,0.07,277.11,2.07,702.15,1
SOJC,SO,BB,11.5,11/29/2024,,,0.33,5.25,25.69,20.75,21.59,0.84,-4.1,21.94,23.09,-1.62,-6.51,21.1,25.07,20.35,25.07,7.0,21.29,0.19,-3.78,54.74,53.86,81.75,55.12,-4.4,0.54,56.45,67.17,-3.78,0.94,54.67,83.31,24535.0,24790.0,15262.0,21529.0,79.52,0.06,427.17,2.07,702.15,2
SOJD,SO,BB,11.5,10/29/2024,,,0.31,4.95,23.86,19.45,20.11,0.66,-3.75,20.65,21.84,-2.62,-7.94,19.26,24.55,19.26,24.55,66.0,20.03,0.77,-4.52,60.6,60.1,65.81,65.78,-3.83,0.58,50.61,66.81,-4.52,0.77,65.47,84.87,81202.0,81674.0,69241.0,77372.0,79.52,0.06,451.71,2.07,702.15,9
SOJE,SO,BB,11.5,1/10/2025,,,0.26,4.2,20.96,17.42,17.64,0.19,-3.35,18.27,19.62,-3.61,-10.22,17.28,22.35,17.28,22.35,49.0,17.49,0.21,-4.86,66.4,70.05,81.2,70.68,-3.47,0.07,46.93,71.43,-4.86,0.21,70.44,90.0,54164.0,56350.0,40130.0,50214.0,79.52,0.06,469.21,2.07,702.15,9
SR PRA,SR,,11,10/25/2024,8/15/2024,,0.37,5.9,26.15,21.87,24.09,2.22,-2.06,24.31,24.34,-0.89,-1.02,23.2,25.39,21.36,25.39,62.0,23.97,0.77,-1.42,50.47,29.9,65.81,21.1,-2.18,2.1,33.73,53.04,-1.42,2.61,20.22,68.01,18184.0,17293.0,11891.0,15789.0,62.29,0.06,321.41,2.07,702.15,4
SREA,SRE,BB,11.5,12/13/2024,,,0.36,5.75,25.24,21.16,20.5,-0.66,-4.74,21.97,23.42,-6.69,-12.48,19.6,25.24,19.6,25.47,21.0,20.22,0.62,-5.02,84.44,79.92,69.93,72.99,-5.02,-0.94,62.79,80.58,-5.25,0.62,76.13,86.24,55902.0,62776.0,57957.0,58878.0,71.57,0.07,484.68,2.07,702.15,2
STT PRG,STT,,13,11/27/2024,,,0.33,5.35,26.9,21.63,22.28,0.65,-4.62,23.1,24.0,-3.54,-7.17,21.62,25.16,21.42,25.16,5.0,21.97,0.35,-3.19,65.99,56.74,77.35,46.61,-4.93,0.34,61.87,68.98,-3.19,0.55,46.06,86.88,39771.0,44818.0,30672.0,38420.0,74.21,0.06,425.25,2.07,702.15,4
SYF PRA,SYF,,NR,10/30/2024,11/15/2024,,0.35,5.63,22.14,15.28,17.81,2.53,-4.33,18.46,19.26,-3.54,-7.53,16.19,21.94,14.51,21.94,67.0,17.72,1.53,-4.22,65.99,58.31,44.91,61.46,-4.42,2.44,56.65,49.95,-4.22,3.21,61.09,62.51,54772.0,57123.0,50769.0,54221.0,59.72,0.08,396.43,2.07,702.15,8
T PRA,T,,10,1/7/2025,12/12/2024,,0.31,5.0,23.49,18.31,20.11,1.8,-3.38,20.56,21.21,-2.17,-5.19,19.15,22.78,18.2,22.8,46.0,19.96,0.81,-2.82,57.96,48.1,64.71,41.28,-3.53,1.65,47.54,57.11,-2.84,1.76,40.95,75.8,100893.0,96623.0,97522.0,98346.0,77.71,0.06,415.79,2.07,702.15,9
T PRC,T,,10,1/7/2025,2/18/2025,,0.3,4.75,21.55,17.25,19.13,1.88,-2.42,19.39,20.08,-1.32,-4.71,18.2,21.71,17.02,21.71,46.0,18.98,0.78,-2.73,52.99,46.01,65.53,39.98,-2.57,1.73,37.72,56.39,-2.73,1.96,39.34,73.96,124962.0,134449.0,118579.0,125997.0,77.71,0.06,414.38,2.07,702.15,9
TBB,T,BB,12,10/17/2024,,,0.33,5.35,24.98,20.32,22.08,1.76,-2.9,23.35,23.54,-5.44,-6.22,21.75,24.9,20.26,24.9,54.0,21.95,0.2,-2.95,77.12,52.6,81.48,43.15,-3.03,1.63,42.43,57.29,-2.95,1.69,42.55,76.44,76584.0,64515.0,69405.0,70168.0,79.27,0.06,434.03,2.07,702.15,4
TCBIO,TCBI,,8,12/2/2024,6/15/2026,,0.36,5.75,24.5,16.01,20.03,4.02,-4.47,20.21,20.26,-0.91,-1.12,18.11,22.71,15.52,22.71,10.0,19.71,1.6,-3.0,50.59,30.34,42.99,43.87,-4.79,3.7,60.43,38.54,-3.0,4.19,43.28,53.53,21880.0,18751.0,11873.0,17501.0,51.08,0.07,308.05,2.07,702.15,8
TDS PRU,TDS,,7,12/13/2024,,,0.41,6.63,24.25,14.26,21.02,6.76,-3.23,20.93,20.64,0.44,1.84,18.71,22.88,12.0,22.88,21.0,20.71,2.0,-2.17,42.68,17.42,31.99,31.91,-3.54,6.45,47.65,13.62,-2.17,8.71,31.17,12.11,25566.0,23537.0,13813.0,20972.0,50.21,0.08,257.76,2.07,702.15,6
TDS PRV,TDS,,7,12/13/2024,9/30/2026,,0.38,6.0,22.28,12.88,18.77,5.89,-3.51,18.34,18.31,2.32,2.49,16.25,20.48,10.79,20.48,21.0,18.48,2.23,-2.0,31.67,14.58,25.67,29.46,-3.8,5.6,50.31,21.33,-2.0,7.69,28.69,21.45,44755.0,41217.0,31995.0,39322.0,50.21,0.08,256.14,2.07,702.15,6
TFC PRO,TFC,,11.5,11/8/2024,,,0.33,5.25,25.2,19.78,21.01,1.23,-4.19,21.76,22.53,-3.44,-6.75,19.69,24.83,19.43,24.83,76.0,20.96,1.27,-3.87,65.4,54.91,52.06,56.41,-4.24,1.18,54.81,61.37,-3.87,1.53,55.99,77.9,45869.0,43984.0,43017.0,44290.0,66.71,0.06,399.77,2.07,702.15,9
TFC PRR,TFC,,11.5,11/8/2024,,,0.3,4.75,22.49,17.71,18.84,1.13,-3.65,19.79,20.39,-4.8,-7.6,18.41,22.62,17.29,22.62,76.0,18.79,0.38,-3.83,73.37,58.62,76.53,55.84,-3.7,1.08,49.28,62.28,-3.83,1.5,55.4,78.18,68071.0,70902.0,83382.0,74118.0,66.71,0.06,422.95,2.07,702.15,10
TRTN PRD,-,,NR,12/6/2024,3/15/2025,,0.43,6.88,25.95,21.62,21.42,-0.19,-4.52,22.35,23.41,-4.1,-8.48,19.76,25.67,19.76,25.67,14.0,21.07,1.31,-4.6,69.27,62.46,50.96,66.94,-4.88,-0.55,61.36,77.04,-4.6,1.31,66.64,79.92,9966.0,9231.0,11072.0,10090.0,45.05,0.08,383.66,2.07,702.15,5
TRTN PRE,-,,NR,12/6/2024,,,0.36,5.75,23.79,17.8,18.8,1.0,-4.99,19.18,20.6,-1.99,-8.75,16.9,23.3,16.9,23.3,14.0,18.5,1.6,-4.8,56.91,63.64,42.99,69.82,-5.29,0.7,65.55,65.72,-4.8,1.6,69.56,77.26,7508.0,8132.0,7589.0,7743.0,45.05,0.08,371.89,2.07,702.15,3
TRTX PRC,TRTX,,NR,12/16/2024,6/14/2026,,0.39,6.25,18.83,13.81,18.08,4.26,-0.76,17.79,18.0,1.56,0.4,16.01,20.0,13.0,20.0,24.0,17.78,1.77,-2.22,36.12,23.7,38.32,32.63,-1.05,3.97,22.17,36.09,-2.22,4.78,31.9,48.12,8433.0,7232.0,6223.0,7296.0,42.78,0.09,268.39,2.07,702.15,11
TY PR,TY,,NR,12/5/2024,,,0.31,5.0,50.11,43.5,43.98,0.48,-6.13,44.83,45.84,-1.9,-4.07,43.55,49.16,42.0,49.19,13.0,43.71,0.16,-5.45,56.38,43.21,82.58,79.19,-6.4,0.21,76.91,70.16,-5.48,1.71,79.49,76.25,622.0,590.0,753.0,655.0,51.97,0.03,354.25,2.07,702.15,0
UNMA,UNM,BB,10,11/29/2024,,,0.39,6.25,26.19,21.92,24.56,2.64,-1.63,24.55,24.92,0.04,-1.43,23.13,26.05,21.49,26.05,7.0,24.2,1.07,-1.85,45.02,31.69,57.56,27.3,-1.99,2.28,31.79,51.4,-1.85,2.71,26.5,67.09,12796.0,15484.0,6617.0,11632.0,68.36,0.06,331.5,2.07,702.15,4
USB PRQ,USB,,13.5,12/27/2024,,,0.23,3.75,19.57,13.5,15.42,1.92,-4.15,15.92,16.78,-3.16,-8.09,14.66,18.6,13.32,18.6,35.0,15.28,0.62,-3.32,63.76,60.76,69.93,48.49,-4.29,1.78,55.32,55.93,-3.32,1.96,47.96,73.96,41910.0,37987.0,34377.0,38091.0,73.33,0.06,413.54,2.07,702.15,10
USB PRR,USB,,13.5,12/27/2024,,,0.25,4.0,21.05,14.57,16.4,1.83,-4.65,17.01,17.89,-3.57,-8.35,15.62,20.35,14.24,20.35,35.0,16.25,0.63,-4.1,66.16,61.89,69.66,59.73,-4.8,1.68,60.54,56.84,-4.1,2.01,59.34,73.51,49535.0,48409.0,44966.0,47637.0,73.33,0.06,427.23,2.07,702.15,9
USB PRS,USB,,13.5,12/27/2024,,,0.28,4.5,22.08,16.44,18.71,2.27,-3.37,19.39,20.32,-3.52,-7.91,18.07,22.97,16.22,22.97,35.0,18.54,0.47,-4.43,65.87,59.97,74.05,64.49,-3.54,2.1,47.65,53.04,-4.43,2.32,64.16,70.66,44122.0,40604.0,36887.0,40538.0,73.33,0.06,423.75,2.07,702.15,9
UZD,USM,BB,9.5,11/29/2024,9/1/2025,,0.39,6.25,24.16,16.77,23.84,7.07,-0.32,23.62,23.05,0.95,3.41,22.0,24.2,14.86,24.8,7.0,23.48,1.48,-0.72,39.69,10.57,46.29,11.01,-0.68,6.71,18.39,11.27,-1.32,8.62,18.76,12.93,38350.0,35930.0,18297.0,30859.0,58.62,0.07,250.47,2.07,702.15,8
UZE,USM,BB,9.5,11/29/2024,,,0.34,5.5,21.8,14.93,22.09,7.16,0.29,21.88,21.5,0.96,2.73,20.25,23.22,13.0,23.8,7.0,21.78,1.53,-1.44,39.63,13.54,44.91,21.39,-0.02,6.85,11.64,10.0,-2.02,8.78,28.98,11.47,39467.0,30259.0,26019.0,31915.0,58.62,0.06,250.87,2.07,702.15,6
UZF,USM,BB,9.5,11/29/2024,6/1/2026,,0.34,5.5,21.75,15.44,22.2,6.76,0.45,21.92,21.51,1.28,3.2,20.3,23.5,12.95,23.7,7.0,21.89,1.59,-1.61,37.76,11.48,43.26,23.84,0.14,6.45,10.0,13.62,-1.81,8.94,25.91,10.0,29043.0,23088.0,18002.0,23378.0,58.62,0.06,245.23,2.07,702.15,8
VNO PRL,VNO,,10.5,12/13/2024,,,0.34,5.4,24.16,13.75,17.65,3.9,-6.51,17.57,17.31,0.43,1.97,15.25,19.46,11.36,19.46,21.0,17.39,2.14,-2.07,42.74,16.85,28.14,30.47,-6.77,3.64,80.69,39.08,-2.07,6.03,29.71,36.67,20455.0,17691.0,17232.0,18459.0,59.57,0.08,298.04,2.07,702.15,6
VNO PRM,VNO,,10.5,12/13/2024,,,0.33,5.25,23.4,13.71,17.08,3.37,-6.32,17.14,16.86,-0.37,1.3,14.75,18.99,11.15,18.99,21.0,16.83,2.08,-2.16,47.42,19.78,29.79,31.77,-6.57,3.12,78.64,43.79,-2.16,5.68,31.02,39.87,24557.0,20583.0,13217.0,19452.0,59.57,0.08,307.74,2.07,702.15,6
VNO PRN,VNO,,10.5,12/13/2024,,,0.33,5.25,22.92,13.76,17.0,3.24,-5.92,17.22,16.93,-1.29,0.41,14.81,18.97,11.2,18.97,21.0,16.75,1.94,-2.22,52.81,23.66,33.64,32.63,-6.17,2.99,74.55,44.97,-2.22,5.55,31.9,41.07,18965.0,17990.0,23309.0,20088.0,59.57,0.08,316.75,2.07,702.15,6
