PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group
BAC PRM,BAC,,11,12/2/2024,,,0.34,5.38,25.18,20.7,21.77,1.07,-3.41,22.66,23.29,-3.93,-6.55,21.44,24.88,20.54,24.88,10.0,21.47,0.03,-3.41,68.27,54.04,86.15,49.78,-3.71,0.77,49.39,65.08,-3.41,0.93,49.27,83.4,89186.0,73988.0,64489.0,75888.0,78.1,0.06,442.01,2.07,702.15,2
BAC PRN,BAC,,11,12/2/2024,,,0.31,5.0,23.9,19.25,20.16,0.91,-3.74,21.03,21.9,-4.12,-7.94,19.5,24.04,19.0,24.04,10.0,19.88,0.38,-4.16,69.39,60.1,76.53,60.59,-4.02,0.63,52.56,66.35,-4.16,0.88,60.22,83.86,99213.0,85077.0,86781.0,90357.0,78.1,0.06,457.16,2.07,702.15,2
BAC PRO,BAC,,11,10/15/2024,11/3/2025,,0.27,4.38,21.39,16.54,17.6,1.06,-3.79,18.51,19.39,-4.92,-9.22,17.3,21.54,16.35,21.54,52.0,17.49,0.19,-4.05,74.07,65.69,81.75,59.01,-3.9,0.95,51.33,63.45,-4.05,1.14,58.61,81.48,75049.0,69666.0,78359.0,74358.0,78.1,0.06,459.55,2.07,702.15,2
BAC PRP,BAC,,11,10/15/2024,,,0.26,4.12,20.8,15.57,16.57,1.0,-4.23,17.5,18.32,-5.29,-9.57,16.26,20.58,15.4,20.58,52.0,16.46,0.2,-4.12,76.24,67.22,81.48,60.02,-4.34,0.89,55.83,64.0,-4.12,1.06,59.64,82.21,64676.0,56863.0,54211.0,58584.0,78.1,0.06,460.18,2.07,702.15,2
BAC PRQ,BAC,,11,11/1/2024,,,0.27,4.25,20.46,16.11,16.97,0.86,-3.49,17.94,18.74,-5.38,-9.46,16.74,21.0,15.98,21.0,69.0,16.91,0.17,-4.09,76.76,66.74,82.3,59.59,-3.55,0.8,47.75,64.81,-4.09,0.93,59.2,83.4,98613.0,94976.0,100299.0,97963.0,78.1,0.06,469.24,2.07,702.15,2
BAC PRS,BAC,,11,11/1/2024,,,0.3,4.75,22.49,18.24,19.1,0.86,-3.39,20.08,20.95,-4.87,-8.84,18.78,23.44,17.82,23.44,69.0,19.03,0.25,-4.41,73.78,64.03,80.1,64.2,-3.46,0.79,46.83,64.9,-4.41,1.21,63.87,80.84,47670.0,36646.0,41386.0,41901.0,78.1,0.06,452.27,2.07,702.15,2
BCV PRA,BCV,,16,12/16/2024,,,0.34,5.39,24.69,22.15,22.17,0.03,-2.51,22.41,22.97,-1.04,-3.45,21.51,24.71,21.51,25.26,24.0,21.93,0.42,-2.78,51.35,40.51,75.43,40.7,-2.76,-0.22,39.67,74.05,-3.33,0.42,48.1,88.08,1910.0,1714.0,1659.0,1761.0,59.54,0.06,358.57,2.07,702.15,0
BFS PRD,BFS,,NR,12/27/2024,,,0.38,6.13,24.15,19.3,21.25,1.95,-2.9,21.0,21.42,1.21,-0.81,19.3,23.77,19.01,23.95,35.0,21.02,1.72,-2.75,38.17,28.99,39.69,40.27,-3.13,1.72,43.45,56.48,-2.93,2.01,42.26,73.51,4132.0,3316.0,861.0,2770.0,44.33,0.07,290.21,2.07,702.15,11
BFS PRE,BFS,,NR,12/27/2024,,,0.38,6.0,24.6,18.93,20.85,1.92,-3.75,20.82,21.37,0.15,-2.45,18.34,24.06,18.34,24.49,35.0,20.62,2.28,-3.44,44.38,36.14,24.3,50.22,-3.98,1.69,52.15,56.75,-3.87,2.28,55.99,71.03,4833.0,4518.0,2934.0,4095.0,44.33,0.07,304.17,2.07,702.15,3
BHFAL,BHF,BB,10.5,12/2/2024,9/15/2023,,0.39,6.25,26.35,20.69,20.22,-0.39,-6.05,21.24,22.81,-4.42,-10.99,19.26,25.47,19.1,25.47,10.0,19.95,0.69,-5.52,71.14,73.42,68.01,80.2,-6.4,-0.74,76.91,78.77,-5.52,0.85,80.07,84.14,20085.0,21360.0,13436.0,18294.0,62.45,0.08,453.08,2.07,702.15,1
BHFAM,BHF,,10.5,12/6/2024,,,0.29,4.63,21.13,13.35,14.91,1.56,-6.22,14.81,16.2,0.65,-7.97,13.28,18.95,13.03,18.95,14.0,14.67,1.39,-4.28,41.45,60.23,48.76,62.32,-6.46,1.32,77.52,60.1,-4.28,1.64,61.97,76.9,34139.0,35564.0,26902.0,32202.0,61.22,0.08,395.99,2.07,702.15,8
BHFAN,BHF,,10,12/6/2024,,,0.34,5.38,22.69,15.27,16.25,1.06,-6.36,16.46,18.49,-0.77,-11.67,14.54,21.63,14.54,21.63,14.0,16.04,1.5,-5.59,49.77,76.38,45.74,81.21,-6.65,0.77,79.46,65.08,-5.59,1.5,81.09,78.18,62753.0,68287.0,57737.0,62926.0,61.22,0.08,437.94,2.07,702.15,8
BHFAO,BHF,,10,12/6/2024,6/25/2025,,0.42,6.75,26.51,21.17,20.15,-1.02,-6.36,21.1,23.43,-4.52,-14.01,18.53,26.0,18.53,26.0,14.0,19.8,1.27,-6.2,71.73,86.6,52.06,90.0,-6.71,-1.37,80.08,84.47,-6.2,1.27,90.0,80.29,32342.0,41254.0,37178.0,36925.0,61.22,0.08,469.52,2.07,702.15,1
BHFAP,BHF,,10,12/6/2024,,,0.41,6.6,26.1,20.01,19.69,-0.32,-6.41,20.68,22.68,-4.77,-13.19,18.38,25.51,18.38,25.51,14.0,19.34,0.96,-6.17,73.19,83.02,60.58,89.57,-6.76,-0.67,80.59,78.13,-6.17,0.96,89.56,83.13,31097.0,36176.0,33633.0,33635.0,61.22,0.08,468.25,2.07,702.15,8
BOH PRA,BOH,,12,10/17/2024,8/1/2026,,0.27,4.38,20.44,13.05,15.47,2.41,-4.98,15.89,16.6,-2.71,-6.85,14.51,19.24,12.86,19.24,54.0,15.35,0.84,-3.89,61.13,55.35,63.88,56.7,-5.09,2.3,63.5,51.22,-3.89,2.49,56.28,69.11,8906.0,6306.0,4007.0,6406.0,56.7,0.07,373.3,2.07,702.15,8
BWBBP,BWB,,NR,11/11/2024,8/17/2026,,0.37,5.88,23.52,16.57,18.78,2.24,-4.71,19.14,19.06,-1.73,-1.33,18.1,22.0,14.48,22.0,79.0,18.76,0.66,-3.24,55.39,31.25,68.83,47.33,-4.76,2.19,60.13,52.22,-3.24,4.28,46.79,52.7,3211.0,2213.0,1308.0,2244.0,49.51,0.08,327.24,2.07,702.15,11
CADE PRA,CADE,,NR,11/1/2024,11/20/2024,,0.34,5.5,24.16,16.69,20.88,4.19,-3.28,21.16,21.18,-1.34,-1.43,19.6,23.49,16.13,23.49,69.0,20.8,1.2,-2.69,53.1,31.69,53.99,39.41,-3.36,4.11,45.81,34.82,-2.69,4.67,38.76,49.13,9639.0,11241.0,13238.0,11373.0,32.11,0.07,265.07,2.07,702.15,1
CFG PRE,CFG,,10,12/18/2024,,,0.31,5.0,22.34,16.2,19.2,3.0,-3.14,19.61,20.38,-2.09,-5.81,17.99,23.38,15.17,23.38,26.0,18.98,0.99,-4.4,57.5,50.81,59.76,64.05,-3.36,2.78,45.81,46.87,-4.4,3.81,63.72,57.01,32336.0,35357.0,27936.0,31876.0,60.61,0.07,375.64,2.07,702.15,8
CFR PRB,CFR,,11.5,11/27/2024,,,0.28,4.45,21.8,15.89,17.73,1.84,-4.07,17.72,18.78,0.05,-5.58,16.34,22.15,15.6,22.15,5.0,17.47,1.13,-4.68,44.96,49.8,55.91,68.09,-4.33,1.58,55.73,57.75,-4.68,1.87,67.81,74.79,9407.0,10277.0,8416.0,9367.0,63.63,0.06,375.05,2.07,702.15,1
CIM PRA,CIM,,NR,12/11/2024,10/21/2021,,0.5,8.0,22.82,18.15,22.32,4.17,-0.5,21.96,22.52,1.62,-0.87,19.85,24.56,17.33,24.56,19.0,21.93,2.08,-2.63,35.77,29.25,29.79,38.54,-0.89,3.78,20.54,37.81,-2.63,4.6,37.88,49.77,9499.0,10303.0,6691.0,8831.0,18.64,0.09,225.73,2.07,702.15,5
CIO PRA,CIO,,NR,1/8/2025,9/15/2021,,0.41,6.63,24.0,15.06,19.22,4.17,-4.77,18.53,18.58,3.75,3.51,16.86,21.06,14.16,21.79,47.0,19.03,2.17,-2.03,23.29,10.13,27.32,29.89,-4.97,3.97,62.28,36.09,-2.76,4.87,39.78,47.3,12294.0,5522.0,3307.0,7041.0,34.66,0.09,236.23,2.07,702.15,3
CLDT PRA,CLDT,,NR,12/27/2024,,,0.41,6.63,24.33,19.64,20.61,0.97,-3.72,20.54,21.54,0.36,-4.33,18.18,24.49,18.18,24.49,35.0,20.36,2.18,-4.13,43.15,44.35,27.04,60.16,-3.97,0.72,52.05,65.54,-4.13,2.18,59.78,71.95,5394.0,5812.0,4932.0,5379.0,39.06,0.08,316.25,2.07,702.15,11
CMS PRC,CMS,,10.5,1/2/2025,,,0.26,4.2,20.81,17.98,16.95,-1.03,-3.86,17.51,18.63,-3.2,-9.03,16.06,20.92,16.06,21.68,41.0,16.81,0.75,-4.11,64.0,64.86,66.36,59.87,-4.0,-1.17,52.35,82.66,-4.87,0.75,70.58,85.05,18811.0,16055.0,12225.0,15697.0,68.03,0.06,424.28,2.07,702.15,9
CMSC,CMS,BB,11.5,12/27/2024,10/15/2023,,0.37,5.88,25.19,21.74,22.16,0.42,-3.03,22.84,23.92,-2.97,-7.37,21.28,25.36,21.28,25.36,35.0,21.93,0.65,-3.43,62.65,57.62,69.11,50.07,-3.26,0.19,44.78,70.34,-3.43,0.65,49.56,85.97,22098.0,28668.0,39328.0,30031.0,69.39,0.07,415.61,2.07,702.15,4
CMSD,CMS,BB,11.5,11/15/2024,,,0.37,5.88,25.59,21.91,22.17,0.26,-3.42,23.05,24.01,-3.83,-7.66,21.72,25.3,21.72,25.31,83.0,22.14,0.42,-3.16,67.69,58.88,75.43,46.18,-3.45,0.23,46.73,69.98,-3.17,0.42,45.77,88.08,43405.0,42685.0,45777.0,43956.0,69.39,0.07,423.88,2.07,702.15,4
CNO PRA,CNO,BB,NR,11/15/2024,11/25/2025,,0.32,5.13,22.08,14.95,17.54,2.59,-4.54,18.99,20.03,-7.64,-12.45,16.54,22.22,14.56,22.53,83.0,17.52,0.98,-4.7,90.0,79.79,60.03,68.38,-4.56,2.57,58.08,48.78,-5.01,2.96,72.63,64.8,1523.0,1688.0,1302.0,1504.0,55.56,0.07,413.94,2.07,702.15,3
COF PRI,COF,,10,11/13/2024,,,0.31,5.0,23.21,16.12,19.05,2.93,-4.16,19.37,20.03,-1.67,-4.88,17.75,22.04,15.65,22.04,81.0,19.02,1.27,-3.02,55.04,46.75,52.06,44.16,-4.19,2.9,54.3,45.79,-3.02,3.37,43.58,61.04,104414.0,100232.0,88069.0,97571.0,73.19,0.07,399.1,2.07,702.15,10
COF PRJ,COF,,10,11/13/2024,,,0.3,4.8,21.9,15.54,18.14,2.6,-3.76,18.53,19.11,-2.08,-5.08,16.97,20.85,15.05,20.85,81.0,18.11,1.14,-2.74,57.44,47.62,55.64,40.13,-3.79,2.57,50.2,48.78,-2.74,3.06,39.49,63.88,100094.0,98177.0,65506.0,87926.0,73.19,0.07,398.77,2.07,702.15,10
COF PRK,COF,,10,11/13/2024,,,0.29,4.63,22.17,14.99,17.66,2.67,-4.51,17.93,18.84,-1.48,-6.29,16.46,21.07,14.64,21.07,81.0,17.63,1.17,-3.44,53.92,52.9,54.81,50.22,-4.54,2.64,57.88,48.14,-3.44,2.99,49.71,64.52,8615.0,9703.0,6031.0,8116.0,73.19,0.07,389.68,2.07,702.15,10
COF PRL,COF,,10,11/13/2024,,,0.27,4.38,20.06,13.84,16.7,2.86,-3.36,16.95,17.81,-1.46,-6.24,15.42,20.16,13.57,20.16,81.0,16.67,1.25,-3.49,53.81,52.68,52.61,50.94,-3.39,2.83,46.11,46.42,-3.49,3.1,50.44,63.52,47085.0,44641.0,36536.0,42754.0,73.19,0.07,394.77,2.07,702.15,10
COF PRN,COF,,10,11/13/2024,,,0.27,4.25,19.94,13.68,16.54,2.86,-3.4,16.6,17.33,-0.37,-4.55,15.15,19.81,13.26,19.81,81.0,16.51,1.36,-3.3,47.42,45.31,49.59,48.2,-3.43,2.83,46.52,46.42,-3.3,3.25,47.66,62.14,33194.0,30051.0,21749.0,28331.0,73.19,0.06,370.18,2.07,702.15,10
CUBB,CUBI,BB,NR,12/13/2024,,,0.34,5.38,23.56,18.75,20.36,1.61,-3.2,19.81,19.92,2.75,2.2,18.3,21.85,16.5,22.0,21.0,20.1,1.8,-1.75,29.15,15.85,37.49,25.86,-3.46,1.35,46.83,59.83,-1.9,3.6,27.23,58.93,2288.0,2837.0,2262.0,2462.0,47.71,0.07,264.37,2.07,702.15,11
DCOMP,DCOM,,8,11/5/2024,2/15/2025,,0.34,5.5,22.38,14.51,18.89,4.37,-3.5,19.31,18.99,-2.21,-0.56,17.51,21.44,13.3,21.44,73.0,18.82,1.31,-2.62,58.2,27.89,50.96,38.4,-3.56,4.31,47.85,33.01,-2.62,5.52,37.74,41.34,6032.0,4343.0,4083.0,4819.0,24.59,0.07,242.23,2.07,702.15,3
DLR PRJ,DLR,,10.5,12/13/2024,,,0.33,5.25,25.38,19.55,21.37,1.82,-4.01,21.31,22.23,0.3,-3.86,20.02,24.63,19.06,24.63,21.0,21.12,1.1,-3.51,43.5,42.3,56.74,51.23,-4.26,1.57,55.01,57.84,-3.51,2.06,50.73,73.05,12968.0,13618.0,10308.0,12298.0,70.24,0.06,369.42,2.07,702.15,2
DLR PRK,DLR,,10.5,12/13/2024,,,0.37,5.88,26.4,22.0,23.22,1.22,-3.18,23.54,24.17,-1.35,-3.92,22.1,25.61,21.4,25.61,21.0,22.94,0.84,-2.67,53.16,42.56,63.88,39.12,-3.46,0.94,46.83,63.54,-2.67,1.54,38.47,77.81,13726.0,15636.0,26698.0,18687.0,70.24,0.06,373.44,2.07,702.15,2
DLR PRL,DLR,,10.5,12/13/2024,,,0.33,5.2,25.37,19.32,20.56,1.24,-4.81,20.78,21.89,-1.05,-6.07,19.61,24.45,19.01,24.45,21.0,20.31,0.7,-4.14,51.41,51.94,67.73,60.31,-5.06,0.99,63.2,63.09,-4.14,1.3,59.93,80.01,18512.0,23131.0,17889.0,19844.0,70.24,0.06,401.04,2.07,702.15,2
DTB,DTE,BB,11.5,12/27/2024,,,0.27,4.38,22.29,17.3,17.39,0.09,-4.9,18.14,19.36,-4.11,-10.16,16.98,21.9,16.98,22.86,35.0,17.23,0.25,-4.67,69.33,69.79,80.1,67.95,-5.06,-0.07,63.2,72.7,-5.63,0.25,81.68,89.63,14381.0,12277.0,11516.0,12725.0,74.39,0.06,456.44,2.07,702.15,10
DTG,DTE,BB,11.5,11/15/2024,,,0.27,4.38,20.89,17.32,17.33,0.01,-3.56,18.13,19.43,-4.39,-10.8,16.88,22.05,16.88,22.25,83.0,17.31,0.43,-4.74,70.97,72.59,75.15,68.95,-3.58,-0.01,48.06,72.15,-4.94,0.43,71.61,87.98,21796.0,23542.0,16612.0,20650.0,74.39,0.06,453.5,2.07,702.15,9
