PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
BC PRA,BC-A,BC,,BB,11.5,06/29/2025,10/15/2023,10/15/2048,0.4,6.50%,26.22,22.5,65.69,Consumercyclical,,39.0,,,,,,23.15,0.65,-3.07,24.12,24.52,-4.04,-5.58,22.58,25.43,22.09,26.39,22.92,0.34,-2.51,67.557437,66.499778,77.595506,42.0,-3.47,0.83,49.105812,83.257143,7666,7838,11216,8907
BC PRC,BC-C,BC,,BB,11.5,06/29/2025,4/15/2024,4/15/2049,0.39,6.38%,25.99,22.33,65.69,Consumercyclical,,39.0,,,,,,22.88,0.55,-3.11,23.83,24.4,-4.0,-6.22,22.0,25.5,21.76,25.99,22.66,0.66,-2.84,67.363966,68.768276,71.842697,46.551724,-3.33,0.9,47.436662,82.857143,12433,13734,18951,15039
BK PRK,BK-K,BK,NFF,,12.5,06/05/2025,3/20/2030,NONE,0.41,6.15%,,,715.58,Bank,,15.0,,,,,,25.51,,,,,,,24.54,25.83,24.54,25.83,25.17,0.63,-0.66,,,72.382022,16.482759,-0.66,0.63,15.603577,84.4,277559,277559,98673,217930
BML PRG,BML-G,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.33,3.00%,,,7537.21,Bank,,84.0,,,,,,20.75,,,22.22,22.52,-6.62,-7.86,20.25,23.5,19.49,23.68,20.73,0.48,-2.77,80.036276,74.581303,75.078652,45.586207,-2.95,1.24,42.90611,80.914286,5942,4098,2465,4168
BML PRH,BML-H,BAC,FLR,,11.0,05/15/2025,11/28/2009,NONE,0.32,3.00%,,,7537.21,Bank,,84.0,,,,,,20.8,,,22.13,22.37,-6.01,-7.0,20.09,23.45,18.95,23.45,20.78,0.69,-2.67,77.085852,71.533008,71.303371,44.206897,-2.67,1.83,39.567809,77.542857,15116,14791,13684,14530
BML PRJ,BML-J,BAC,FLR,,11.0,05/15/2025,11/21/2010,NONE,0.33,4.00%,,,7537.21,Bank,,84.0,,,,,,22.05,,,22.91,23.2,-3.75,-4.95,20.7,24.69,20.0,24.69,22.03,1.33,-2.66,66.154776,64.266726,59.797753,44.068966,-2.66,2.03,39.448584,76.4,17375,18180,14003,16520
BML PRL,BML-L,BAC,FLR,,11.0,07/01/2025,5/21/2010,NONE,0.32,4.00%,,,7537.21,Bank,,41.0,,,,,,21.06,,,22.65,23.02,-7.01,-8.52,19.8,24.77,19.31,24.77,20.89,1.09,-3.88,81.922612,76.920691,64.11236,60.896552,-3.88,1.58,53.994039,78.971429,21954,18337,13940,18077
BOH PRB,BOH-B,BOH,,,9.5,07/14/2025,8/1/2029,NONE,0.5,8.00%,,,39.66,Regionalbank,,54.0,,,,,,25.62,,,,,,,24.81,27.13,24.81,27.13,25.42,0.61,-1.71,,,72.741573,30.965517,-1.71,0.61,28.122206,84.514286,20907,22552,17952,20471
BPOPM,BPOPM,BPOP,,TP,7.0,05/15/2025,12/1/2009,12/1/2034,0.13,6.13%,27.2,24.51,69.37,Regionalbank,,84.0,,,,,,25.6,1.08,-1.61,25.52,25.52,0.29,0.28,24.89,26.11,24.38,26.25,25.58,0.69,-0.53,46.614268,45.728844,71.303371,14.689655,-0.67,1.2,15.722802,81.142857,1743,1959,805,1502
C PRN,C-N,C,,,10.0,07/25/2025,10/30/2015,10/30/2040,0.68,7.88%,,,1868.19,Bank,,65.0,,,,,,29.9,,,30.15,29.94,-0.83,-0.13,29.11,31.34,27.82,31.34,29.71,0.6,-1.63,52.031439,47.1821,72.921348,29.862069,-1.63,1.89,27.168405,77.2,95421,98494,87344,93753
