PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,COM_LAST_PRICE,COM_52W_LOW,COM_52W_HIGH,COM_6M_PRICE,COM_3M_PRICE,COM_5Y_LOW,COM_5Y_HIGH,COM_MKTCAP,CRDT_SCORE,COM_FEB2020_PRICE,COM_MAR2020_PRICE,COM_5Y_LOW_CHG,COM_5Y_HIGH_CHG,COM_52W_LOW_CHG,COM_52W_HIGH_CHG,COM_6M_CHG,COM_3M_CHG,COM_FEB2020_CHG,COM_MAR2020_CHG,5Y_LOW_SKOR,5Y_HIGH_SKOR,52W_LOW_SKOR,52W_HIGH_SKOR,COM_6M_SKOR,COM_3M_SKOR,FEB2020_SKOR,MAR2020_SKOR,Normalized_5Y_LOW,Normalized_5Y_HIGH,Normalized_52W_LOW,Normalized_52W_HIGH,Normalized_COM_6M,Normalized_COM_3M,Normalized_FEB2020,Normalized_MAR2020,52W_HIGH_CHG,5Y_HIGH_CHG,52W_LOW_CHG,5Y_LOW_CHG,5Y_CHG,5Y CHG SKOR,52W_CHG,52W CHG SKOR,TOTAL_HIGH_SCORE,3M_PERF,6M_PERF,RECENT_TOTAL,MKTCAP_NORM,CRDT_NORM,SOLIDITY_SCORE,H2020_SKOR,H2020_NORM,L2020_SKOR,L2020_NORM,COM_6M_NORM,COM_3M_NORM,MKTCAP_RANGE
ASB PRF,ASB,,10,12/2/2024,,,0.35,5.63%,25.25,16.40,19.70,3.30,-5.55,20.08,20.46,-1.88,-3.73,18.51,22.91,14.91,22.91,10.00,19.39,24.14,18.32,28.18,26.71,25.41,11.78,28.18,4.00,10.00,20.28,11.70,1.05,-0.14,0.32,-0.14,-0.10,-0.05,0.19,1.06,90.00,77.10,35.41,77.10,-1.53,-0.66,59.21,66.31,70.85,94.82,74.43,42.00,43.61,52.55,25.89,21.56,-0.14,-0.14,0.32,1.05,1.05,21.89,0.32,31.61,77.10,-0.05,-0.10,-0.15,47.50,30.70,57.05,31.31,40.56,30.91,41.69,50.28,58.44,<1B USD
ATH PRB,-,,11,12/13/2024,,,0.35,5.63%,25.26,18.00,19.73,1.73,-5.53,20.11,21.26,-1.89,-7.20,18.34,23.53,16.66,23.53,21.00,19.46,105.87,81.46,122.31,113.30,108.08,44.01,129.66,66.87,8.00,70.64,43.84,1.29,-0.22,0.32,-0.13,-0.04,-0.02,0.33,1.37,10.00,73.49,10.00,77.90,-0.08,-0.02,,,,,,,,,,,,,,,,,,,75.69,-0.02,-0.07,-0.09,79.70,10.90,45.05,0.00,1.00,0.00,1.00,59.08,62.33,<1B USD
ATH PRD,-,,11,12/13/2024,,,0.30,4.88%,21.69,15.24,17.03,1.79,-4.66,17.40,18.46,-2.12,-7.76,15.86,20.61,15.19,20.61,21.00,16.80,105.87,81.46,122.31,113.30,108.08,44.01,129.66,66.87,8.00,70.64,43.84,1.29,-0.22,0.32,-0.13,-0.04,-0.02,0.33,1.37,10.00,73.49,10.00,77.90,-0.08,-0.02,,,,,,,,,,,,,,,,,,,75.69,-0.02,-0.07,-0.09,79.70,10.90,45.05,0.00,1.00,0.00,1.00,59.08,62.33,<1B USD
AXS PRE,AXS,,11.5,12/26/2024,,,0.34,5.50%,24.04,19.26,20.05,0.79,-3.99,20.74,21.56,-3.33,-6.99,19.45,23.66,18.77,23.66,34.00,19.84,102.85,68.02,103.28,88.11,91.50,36.18,103.28,8.09,11.50,65.16,38.16,1.84,-0.00,0.51,-0.00,0.17,0.12,0.58,1.70,90.00,89.63,50.96,89.63,5.32,3.80,86.67,94.27,79.51,6.37,84.17,83.18,90.83,83.81,37.43,30.23,-0.00,-0.00,0.51,1.84,1.84,31.19,0.51,46.46,89.63,0.12,0.17,0.29,56.18,45.55,68.66,41.34,53.23,40.65,54.51,91.92,85.82,<1B USD
BAC PRB,BAC,,11,10/29/2024,6/16/2023,,0.38,6.00%,25.69,23.02,24.51,1.49,-1.18,24.96,25.10,-1.79,-2.36,24.15,25.63,22.30,25.63,66.00,24.41,44.12,33.06,48.08,46.46,46.01,22.39,50.11,337.20,11.00,34.69,19.67,0.97,-0.12,0.33,-0.08,-0.05,-0.04,0.27,1.24,87.64,79.24,36.76,82.59,-0.33,-0.43,64.98,74.26,69.67,97.60,75.47,97.17,51.83,54.15,28.31,24.02,-0.08,-0.12,0.33,0.97,0.97,20.97,0.33,32.89,80.91,-0.04,-0.05,-0.09,92.29,40.60,78.10,34.99,45.21,34.27,46.10,57.53,59.84,<1B USD
BAC PRK,BAC,,11,1/2/2025,,,0.37,5.88%,25.68,22.00,23.98,1.98,-1.70,24.57,24.84,-2.40,-3.45,23.45,25.43,21.51,25.43,41.00,23.78,44.12,33.06,48.08,46.46,46.01,22.39,50.11,337.20,11.00,34.69,19.67,0.97,-0.12,0.33,-0.08,-0.05,-0.04,0.27,1.24,87.64,79.24,36.76,82.59,-0.33,-0.43,64.98,74.26,69.67,97.60,75.47,97.17,51.83,54.15,28.31,24.02,-0.08,-0.12,0.33,0.97,0.97,20.97,0.33,32.89,80.91,-0.04,-0.05,-0.09,92.29,40.60,78.10,34.99,45.21,34.27,46.10,57.53,59.84,<1B USD
BAC PRM,BAC,,11,12/2/2024,,,0.34,5.38%,25.18,20.70,21.77,1.07,-3.41,22.66,23.29,-3.93,-6.55,21.44,24.88,20.54,24.88,10.00,21.47,44.12,33.06,48.08,46.46,46.01,22.39,50.11,337.20,11.00,34.69,19.67,0.97,-0.12,0.33,-0.08,-0.05,-0.04,0.27,1.24,87.64,79.24,36.76,82.59,-0.33,-0.43,64.98,74.26,69.67,97.60,75.47,97.17,51.83,54.15,28.31,24.02,-0.08,-0.12,0.33,0.97,0.97,20.97,0.33,32.89,80.91,-0.04,-0.05,-0.09,92.29,40.60,78.10,34.99,45.21,34.27,46.10,57.53,59.84,<1B USD
BAC PRN,BAC,,11,12/2/2024,,,0.31,5.00%,23.90,19.25,20.16,0.91,-3.74,21.03,21.90,-4.12,-7.94,19.50,24.04,19.00,24.04,10.00,19.88,44.12,33.06,48.08,46.46,46.01,22.39,50.11,337.20,11.00,34.69,19.67,0.97,-0.12,0.33,-0.08,-0.05,-0.04,0.27,1.24,87.64,79.24,36.76,82.59,-0.33,-0.43,64.98,74.26,69.67,97.60,75.47,97.17,51.83,54.15,28.31,24.02,-0.08,-0.12,0.33,0.97,0.97,20.97,0.33,32.89,80.91,-0.04,-0.05,-0.09,92.29,40.60,78.10,34.99,45.21,34.27,46.10,57.53,59.84,<1B USD
BAC PRO,BAC,,11,10/15/2024,11/3/2025,,0.27,4.38%,21.39,16.54,17.60,1.06,-3.79,18.51,19.39,-4.92,-9.22,17.30,21.54,16.35,21.54,52.00,17.49,44.12,33.06,48.08,46.46,46.01,22.39,50.11,337.20,11.00,34.69,19.67,0.97,-0.12,0.33,-0.08,-0.05,-0.04,0.27,1.24,87.64,79.24,36.76,82.59,-0.33,-0.43,64.98,74.26,69.67,97.60,75.47,97.17,51.83,54.15,28.31,24.02,-0.08,-0.12,0.33,0.97,0.97,20.97,0.33,32.89,80.91,-0.04,-0.05,-0.09,92.29,40.60,78.10,34.99,45.21,34.27,46.10,57.53,59.84,<1B USD
BAC PRP,BAC,,11,10/15/2024,,,0.26,4.12%,20.80,15.57,16.57,1.00,-4.23,17.50,18.32,-5.29,-9.57,16.26,20.58,15.40,20.58,52.00,16.46,44.12,33.06,48.08,46.46,46.01,22.39,50.11,337.20,11.00,34.69,19.67,0.97,-0.12,0.33,-0.08,-0.05,-0.04,0.27,1.24,87.64,79.24,36.76,82.59,-0.33,-0.43,64.98,74.26,69.67,97.60,75.47,97.17,51.83,54.15,28.31,24.02,-0.08,-0.12,0.33,0.97,0.97,20.97,0.33,32.89,80.91,-0.04,-0.05,-0.09,92.29,40.60,78.10,34.99,45.21,34.27,46.10,57.53,59.84,<1B USD
