"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm"
"CNOBP","CNOBP","CNOB","NFF","","8.000000","05/15/2025","9/1/2026","NONE","0.330000","5.25%","","","38.47","Regionalbank","","84.000000","","","","","","22.450000","","","22.630000","21.510000","-0.780000","4.370000","20.290000","23.420000","14.630000","23.420000","22.430000","2.140000","-0.990000","51.789601","31.231724","45.235955","21.034483","-0.990000","7.800000","19.538003","43.428571"
"CODI PRA","CODI-A","CODI","","","8.000000","06/17/2025","7/30/2022","NONE","0.450000","7.25%","25.080000","22.030000","75.24","Conglomerates","","27.000000","","","","","","12.990000","-9.040000","-12.090000","21.970000","23.440000","-40.880000","-44.590000","12.850000","25.110000","12.850000","26.060000","12.680000","-0.170000","-12.430000","","","86.764045","","-13.380000","-0.170000","","88.971429"
"CODI PRB","CODI-B","CODI","","FF","8.000000","06/17/2025","4/30/2028","NONE","0.490000","7.88%","26.850000","23.500000","75.24","Conglomerates","","27.000000","","","","","","15.220000","-8.280000","-11.630000","22.400000","23.790000","-32.070000","-36.020000","15.150000","25.080000","15.150000","26.500000","14.880000","-0.270000","-10.200000","","","88.561798","","-11.620000","-0.270000","","89.542857"
"CODI PRC","CODI-C","CODI","","","8.000000","06/17/2025","1/30/2025","NONE","0.490000","7.88%","25.790000","23.890000","75.24","Conglomerates","","27.000000","","","","","","","-8.760000","-10.660000","22.550000","23.840000","-32.900000","-36.540000","15.130000","25.180000","15.130000","25.910000","14.790000","-0.340000","-10.390000","","","89.820225","","-11.120000","-0.340000","","89.942857"
"CRBD","CRBD","CRBG","","","11.000000","05/30/2025","12/15/2029","12/15/2064","0.400000","6.38%","","","550.13","Assetmanagement","","9.000000","","","","","","","","","","","","","19.760000","31.750000","19.760000","31.750000","23.440000","3.680000","-8.310000","","","17.550562","","-8.310000","3.680000","","66.971429"
"CSWCZ","CSWCZ","CSWC","","BB","8.000000","07/15/2025","8/1/2025","8/1/2028","0.480000","7.75%","","25.050000","50.37","Assetmanagement","","55.000000","","","","","","","0.450000","","25.580000","25.730000","-0.310000","-0.880000","25.030000","26.250000","24.790000","26.480000","25.310000","0.280000","-0.940000","49.516324","49.840496","78.674157","20.344828","-1.170000","0.520000","21.684054","85.028571"
"CUBI PRE","CUBI-E","CUBI","FF","","8.000000","05/30/2025","6/15/2021","NONE","0.610000","6.45%","","","31.54","Regionalbank","","9.000000","","","","","","","","","25.740000","25.640000","-0.570000","-0.190000","24.380000","26.440000","22.040000","26.440000","25.040000","0.660000","-1.400000","50.773881","47.394772","71.842697","26.689655","-1.400000","3.000000","24.426230","70.857143"
"CUBI PRF","CUBI-F","CUBI","FF","","8.000000","05/30/2025","12/14/2021","NONE","0.590000","6.00%","","","31.54","Regionalbank","","9.000000","","","","","","","","","25.440000","25.390000","1.240000","1.440000","23.900000","25.990000","21.000000","25.990000","25.230000","1.330000","-0.760000","42.019347","41.617191","59.797753","17.862069","-0.760000","4.230000","16.795827","63.828571"
"DBRG PRH","DBRG-H","DBRG","","","8.000000","07/10/2025","4/15/2020","NONE","0.450000","7.13%","24.500000","21.280000","176.33","Assetmanagement","","50.000000","","","","","","","1.020000","-2.200000","23.550000","23.900000","-5.290000","-6.690000","20.740000","25.800000","17.910000","25.800000","22.100000","1.360000","-3.700000","73.603386","70.434205","59.258427","58.413793","-3.700000","4.190000","51.847988","64.057143"
"DBRG PRI","DBRG-I","DBRG","","","8.000000","07/10/2025","6/5/2022","NONE","0.450000","7.15%","24.300000","20.800000","176.33","Assetmanagement","","50.000000","","","","","","","1.560000","-1.940000","23.540000","23.910000","-5.010000","-6.470000","21.010000","25.860000","17.820000","25.860000","22.160000","1.150000","-3.700000","72.249093","69.654409","63.033708","58.413793","-3.700000","4.340000","51.847988","63.200000"
"DBRG PRJ","DBRG-J","DBRG","","","8.000000","07/10/2025","9/22/2022","NONE","0.450000","7.13%","24.720000","21.000000","176.33","Assetmanagement","","50.000000","","","","","","","1.350000","-2.370000","23.420000","23.780000","-4.560000","-5.990000","20.470000","25.660000","17.640000","25.660000","22.150000","1.680000","-3.510000","70.072551","67.953035","53.505618","55.793103","-3.510000","4.510000","49.582712","62.228571"
"DCOMG","DCOMG","DCOM","NFF","","10.000000","06/30/2025","7/15/2029","7/15/2034","0.560000","9.00%","","","43.64","Regionalbank","","40.000000","","","","","","","","","","","","","24.250000","27.640000","24.250000","27.640000","26.090000","1.840000","-1.550000","","","50.629213","28.758621","-1.550000","1.840000","26.214605","77.485714"
"DDT","DDT","DDS","","TP","10.500000","07/11/2025","8/12/2003","8/1/2038","0.470000","7.50%","27.000000","25.400000","15.68","Departmentstores","","51.000000","","","","","","","0.670000","-0.930000","25.900000","25.870000","0.660000","0.780000","24.390000","26.550000","24.390000","26.590000","25.870000","1.480000","-0.680000","44.824667","43.956580","57.101124","16.758621","-0.720000","1.480000","16.318927","79.542857"
"DRH PRA","DRH-A","DRH","","","8.000000","06/20/2025","8/31/2025","NONE","0.520000","8.25%","27.000000","24.870000","205.53","Reit","","30.000000","","","","","","","0.260000","-1.870000","25.090000","25.390000","0.150000","-1.030000","23.510000","26.260000","23.510000","27.540000","24.780000","1.270000","-1.480000","47.291415","50.372175","60.876404","27.793103","-2.760000","1.270000","40.640835","80.742857"
"DSX PRB","DSX-B","DSX","","","8.000000","07/10/2025","3/14/2019","NONE","0.560000","8.88%","25.800000","25.160000","115.77","Marineshipping","","50.000000","","","","","","","1.290000","0.650000","26.150000","26.270000","1.150000","0.700000","23.880000","27.750000","23.880000","27.750000","26.200000","2.320000","-1.550000","42.454655","44.240142","42.000000","28.758621","-1.550000","2.320000","26.214605","74.742857"
"DX PRC","DX-C","DX","NFF","","8.000000","06/27/2025","4/25/2025","NONE","0.430000","6.90%","","","107.00","Reit","","37.000000","","","","","","","","","25.380000","25.140000","0.410000","1.370000","24.560000","25.740000","21.120000","25.740000","25.230000","0.670000","-0.510000","46.033857","41.865308","71.662921","14.413793","-0.510000","4.110000","13.815201","64.514286"
"ECC PRD","ECC-D","ECC","","","8.000000","05/12/2025","11/29/2026","NONE","0.140000","6.75%","23.190000","19.600000","120.18","Cef","","81.000000","","","","","","","-0.840000","-4.430000","19.540000","19.610000","-3.990000","-4.340000","18.080000","20.420000","18.080000","21.450000","18.750000","0.670000","-1.670000","67.315599","62.104564","71.662921","30.413793","-2.700000","0.670000","39.925484","84.171429"
"ECCC","ECCC","ECC","","","8.000000","05/12/2025","6/16/2024","6/30/2031","0.140000","6.50%","24.150000","20.520000","120.18","Cef","","81.000000","","","","","","","1.810000","-1.820000","22.840000","22.860000","-2.250000","-2.340000","21.870000","24.890000","20.240000","24.890000","22.320000","0.450000","-2.570000","58.899637","55.015507","75.617978","42.827586","-2.570000","2.080000","38.375559","76.114286"
"ECCF","ECCF","ECC","","Term","8.000000","05/12/2025","1/18/2026","1/31/2029","0.170000","8.00%","","","120.18","Cef","","81.000000","","","","","","","","","24.910000","24.920000","0.030000","0.020000","24.030000","25.550000","24.030000","25.550000","24.900000","0.870000","-0.650000","47.871826","46.650421","68.067416","16.344828","-0.650000","0.870000","15.484352","83.028571"
"ECCU","ECCU","ECC","","","8.000000","05/12/2025","6/30/2027","4/30/2030","0.150000","7.75%","","","120.18","Cef","","81.000000","","","","","","","","","","","","","23.890000","25.450000","23.890000","25.450000","24.590000","0.700000","-0.860000","","","71.123596","19.241379","-0.860000","0.700000","17.988077","84.000000"
"ECCV","ECCV","ECC","","BB","8.000000","06/13/2025","1/31/2025","1/31/2029","0.340000","5.38%","22.840000","21.110000","120.18","Cef","","23.000000","","","","","","","1.880000","0.150000","22.910000","22.840000","0.350000","0.640000","21.940000","23.530000","21.030000","23.530000","22.740000","0.800000","-0.790000","46.324063","44.452813","69.325843","18.275862","-0.790000","1.710000","17.153502","78.228571"
"ECCW","ECCW","ECC","","BB","8.000000","06/13/2025","3/29/2024","3/31/2031","0.420000","6.75%","24.500000","21.900000","120.18","Cef","","23.000000","","","","","","","1.420000","-1.180000","23.670000","24.170000","-1.490000","-3.500000","22.280000","25.210000","21.440000","25.210000","23.010000","0.730000","-2.200000","55.223700","59.127160","70.584270","37.724138","-2.200000","1.570000","33.964232","79.028571"
"ECCX","ECCX","ECC","","BB","8.000000","06/12/2025","4/30/2021","4/30/2028","0.420000","6.69%","24.910000","23.240000","120.18","Cef","","22.000000","","","","","","","1.370000","-0.300000","24.800000","24.690000","-0.770000","-0.340000","23.850000","26.950000","22.700000","26.950000","24.290000","0.440000","-2.660000","51.741233","47.926451","75.797753","44.068966","-2.660000","1.590000","39.448584","78.914286"
"EFC PRA","EFC-A","EFC","FF","","8.000000","06/27/2025","10/30/2024","NONE","0.610000","6.75%","","","94.36","Reit","","37.000000","","","","","","","","","24.990000","24.910000","0.180000","0.530000","21.500000","25.540000","20.060000","25.540000","24.680000","3.180000","-0.860000","47.146312","44.842712","26.539326","19.241379","-0.860000","4.620000","17.988077","61.600000"
"EFC PRB","EFC-B","EFC","NFF","","8.000000","06/27/2025","1/30/2027","NONE","0.390000","6.25%","","","94.36","Reit","","37.000000","","","","","","","","","22.830000","22.260000","0.330000","2.870000","20.290000","23.750000","18.240000","23.750000","22.670000","2.380000","-1.080000","46.420798","36.548516","40.921348","22.275862","-1.080000","4.430000","20.611028","62.685714"
"EFC PRC","EFC-C","EFC","NFF","","8.000000","06/27/2025","4/30/2028","","0.540000","8.63%","","","94.36","Reit","","37.000000","","","","","","","","","24.990000","24.950000","0.830000","1.010000","22.680000","26.250000","20.950000","26.250000","24.880000","2.200000","-1.370000","44.002418","43.141338","44.157303","26.275862","-1.370000","3.930000","24.068554","65.542857"
"EFC PRD","EFC-D","EFC","","","8.000000","06/18/2025","5/12/2022","NONE","0.440000","7.00%","","","94.36","Reit","","28.000000","","","","","","","","","23.320000","22.910000","-1.360000","0.390000","21.250000","27.000000","20.240000","27.000000","22.700000","1.450000","-4.300000","54.594921","45.338946","57.640449","66.689655","-4.300000","2.460000","59.001490","73.942857"
"EICA","EICA","EIC","","Term","8.000000","05/12/2025","10/31/2023","10/30/2026","0.100000","5.00%","23.250000","22.680000","21.14","Cef","","81.000000","","","","","","","1.500000","0.930000","24.150000","23.780000","0.130000","1.700000","23.510000","24.600000","22.290000","24.600000","24.170000","0.660000","-0.430000","47.388150","40.695614","71.842697","13.310345","-0.430000","1.880000","12.861401","77.257143"
"EICB","EICB","EIC","","Term","8.000000","05/12/2025","7/31/2025","7/31/2028","0.160000","7.75%","","24.420000","21.14","Cef","","81.000000","","","","","","","0.470000","","24.900000","24.900000","-0.040000","-0.040000","23.630000","25.460000","23.630000","25.500000","24.870000","1.240000","-0.590000","48.210399","46.863093","61.415730","15.517241","-0.630000","1.240000","15.245902","80.914286"
"EICC","EICC","EIC","","Term","8.000000","05/12/2025","4/3/2026","4/30/2029","0.170000","8.00%","","","21.14","Cef","","81.000000","","","","","","","","","25.010000","25.020000","-0.250000","-0.270000","23.750000","25.250000","23.750000","25.450000","24.930000","1.180000","-0.320000","49.226119","47.678334","62.494382","11.793103","-0.520000","1.180000","13.934426","81.257143"
"EIIA","EIIA","-","","","9.000000","05/12/2025","10/31/2026","10/31/2029","0.170000","8.13%","","","-","-","","81.000000","","","","","","","","","","","","","24.370000","25.370000","24.370000","25.370000","24.670000","0.300000","-0.700000","","","78.314607","17.034483","-0.700000","0.300000","16.080477","86.285714"
"ESGRO","ESGRO","-","","","9.000000","05/15/2025","3/1/2024","NONE","0.440000","7.00%","25.620000","22.500000","-","-","","84.000000","","","","","","","-2.350000","-5.470000","20.300000","21.410000","-0.760000","-5.910000","18.900000","21.300000","18.590000","25.470000","20.120000","1.220000","-1.180000","51.692866","67.669473","61.775281","23.655172","-5.350000","1.530000","71.520119","79.257143"
"ESGRP","ESGRP","-","","","8.000000","05/15/2025","9/1/2028","NONE","0.440000","7.00%","25.180000","22.440000","-","-","","84.000000","","","","","","","-1.350000","-4.090000","20.720000","21.670000","1.780000","-2.670000","18.520000","21.940000","18.520000","26.120000","21.060000","2.540000","-0.880000","39.407497","56.185202","38.044944","19.517241","-5.060000","2.540000","68.062593","73.485714"
"ET PRI","ET-I","ETR","","","9.000000","08/01/2025","Never","Never","0.210000","9.25%","","","430.81","Utilities","","72.000000","","","","","","","","","11.640000","11.570000","-1.160000","-0.630000","10.500000","12.190000","9.280000","12.190000","11.460000","0.960000","-0.730000","53.627570","48.954364","66.449438","17.448276","-0.730000","2.180000","16.438152","75.542857"
"F PRD","F-D","F","","BB","8.000000","04/30/2025","8/15/2027","8/15/2062","0.400000","6.50%","","20.790000","3980.84","Automanufacturers","","69.000000","","","","","","21.570000","0.780000","","23.170000","24.500000","-6.910000","-11.970000","20.850000","26.060000","20.100000","26.190000","21.480000","0.630000","-4.580000","81.438936","89.149313","72.382022","70.551724","-4.710000","1.380000","63.889717","80.114286"
"FCRX","FCRX","CCAP","","BB","11.000000","05/30/2025","5/25/2023","5/25/2026","0.310000","5.00%","","23.250000","37.06","Assetmanagement","","9.000000","","","","","","24.900000","1.650000","","24.700000","24.450000","0.790000","1.860000","23.910000","25.000000","22.500000","25.000000","24.620000","0.710000","-0.380000","44.195889","40.128489","70.943820","12.620690","-0.380000","2.120000","12.265276","75.885714"
"FGN","FGN","FG","","BB","8.500000","05/30/2025","12/15/2028","12/15/2053","0.500000","7.95%","","","134.94","Insurance","","9.000000","","","","","","25.870000","","","25.950000","26.310000","-0.290000","-1.660000","24.210000","27.650000","24.210000","27.650000","25.420000","1.210000","-2.230000","49.419589","52.605228","61.955056","38.137931","-2.230000","1.210000","34.321908","81.085714"
"FGSN","FGSN","FG","","","8.500000","07/01/2025","1/15/2030","1/15/2065","0.460000","7.30%","","","134.94","Insurance","","41.000000","","","","","","23.590000","","","","","","","20.510000","25.020000","20.510000","25.020000","23.340000","2.830000","-1.680000","","","32.831461","30.551724","-1.680000","2.830000","27.764531","71.828571"
"FHN PRB","FHN-B","FHN","NFF","","8.500000","07/17/2025","8/1/2025","NONE","0.420000","6.63%","","","506.74","Regionalbank","","57.000000","","","","","","25.340000","","","25.090000","25.030000","0.990000","1.240000","24.370000","25.700000","20.100000","25.770000","25.190000","0.820000","-0.510000","43.228537","42.326097","68.966292","14.413793","-0.580000","5.090000","14.649776","58.914286"
"FHN PRC","FHN-C","FHN","NFF","","8.500000","07/17/2025","5/1/2026","NONE","0.410000","6.60%","","","506.74","Regionalbank","","57.000000","","","","","","25.000000","","","25.120000","25.000000","-0.490000","0.020000","23.950000","25.750000","19.110000","25.770000","24.850000","0.900000","-0.900000","50.386941","46.650421","67.528090","19.793103","-0.920000","5.740000","18.703428","55.200000"
"FHN PRE","FHN-E","FHN","","","10.500000","06/25/2025","10/10/2025","NONE","0.410000","6.50%","","","506.74","Regionalbank","","35.000000","","","","","","23.850000","","","24.250000","24.210000","-1.640000","-1.470000","22.770000","25.710000","18.190000","25.710000","23.600000","0.830000","-2.110000","55.949214","51.931768","68.786517","36.482759","-2.110000","5.410000","32.891207","57.085714"
"FITBI","FITBI","FITB","","","8.500000","06/26/2025","12/31/2023","NONE","0.520000","6.63%","","","667.97","Regionalbank","","36.000000","","","","","","25.490000","","","25.650000","25.690000","-0.620000","-0.770000","24.750000","26.250000","24.110000","26.250000","25.180000","0.430000","-1.070000","51.015719","49.450598","75.977528","22.137931","-1.070000","1.070000","20.491803","81.885714"
"FLG PRA","FLG-A","FLG","","","8.000000","06/06/2025","6/17/2027","NONE","0.400000","6.38%","","","415.83","Regionalbank","","16.000000","","","","","","22.470000","","","22.400000","20.760000","0.350000","8.290000","19.690000","24.150000","8.500000","24.150000","22.150000","2.460000","-2.000000","46.324063","17.337173","39.483146","34.965517","-2.000000","13.650000","31.579732","10.000000"
"FRMEP","FRMEP","FRME","","","8.000000","07/28/2025","8/15/2025","NONE","0.470000","7.50%","26.000000","23.230000","58.20","Regionalbank","","68.000000","","","","","","25.500000","2.270000","-0.500000","25.370000","25.390000","0.520000","0.450000","23.380000","25.900000","22.790000","26.430000","25.390000","2.010000","-0.510000","45.501814","45.126274","47.573034","14.413793","-1.040000","2.600000","20.134128","73.142857"
"GAINI","GAINI","GAIN","","","8.000000","07/14/2025","2/1/2027","2/1/2030","0.490000","7.88%","","","36.84","Assetmanagement","","54.000000","","","","","","25.320000","","","","","","","24.600000","25.530000","24.600000","25.530000","25.120000","0.520000","-0.410000","","","74.359551","13.034483","-0.410000","0.520000","12.622951","85.028571"
"GAINL","GAINL","GAIN","","BB","8.000000","07/15/2025","8/1/2025","8/1/2028","0.500000","8.00%","","25.070000","36.84","Assetmanagement","","55.000000","","","","","","25.460000","0.390000","","25.690000","25.750000","-0.900000","-1.130000","25.270000","26.660000","24.700000","27.130000","25.270000","0.000000","-1.390000","52.370012","50.726628","83.707865","26.551724","-1.860000","0.570000","29.910581","84.742857"
"GAINN","GAINN","GAIN","","BB","8.000000","07/11/2025","5/1/2023","5/1/2026","0.310000","5.00%","23.850000","23.230000","36.84","Assetmanagement","","51.000000","","","","","","24.970000","1.740000","1.120000","24.810000","24.550000","0.630000","1.710000","24.200000","25.280000","23.000000","25.280000","24.840000","0.640000","-0.440000","44.969770","40.660168","72.202247","13.448276","-0.440000","1.840000","12.980626","77.485714"
"GAINZ","GAINZ","GAIN","","BB","8.000000","07/11/2025","11/1/2023","11/1/2028","0.310000","4.75%","23.450000","21.850000","36.84","Assetmanagement","","51.000000","","","","","","23.100000","1.250000","-0.350000","23.110000","23.180000","-0.040000","-0.360000","22.210000","24.160000","21.380000","24.760000","22.970000","0.760000","-1.190000","48.210399","47.997342","70.044944","23.793103","-1.790000","1.590000","29.076006","78.914286"
"GAM PRB","GAM-B","GAM","","","8.000000","06/09/2025","9/24/2008","NONE","0.370000","5.95%","26.210000","24.280000","27.06","Cef","","19.000000","","","","","","24.990000","0.710000","-1.220000","24.970000","25.180000","0.070000","-0.760000","24.550000","26.240000","23.740000","26.240000","24.700000","0.150000","-1.540000","47.678356","49.415153","81.011236","28.620690","-1.540000","0.960000","26.095380","82.514286"
"GECCH","GECCH","GECC","","BB","8.000000","06/13/2025","12/30/2026","12/31/2029","0.500000","8.13%","","","11.54","Assetmanagement","","23.000000","","","","","","25.200000","","","","","","","24.380000","25.440000","24.380000","25.440000","24.830000","0.450000","-0.610000","","","75.617978","15.793103","-0.610000","0.450000","15.007452","85.428571"
"GECCI","GECCI","GECC","","","8.000000","06/13/2025","4/30/2026","4/30/2029","0.530000","8.50%","","","11.54","Assetmanagement","","23.000000","","","","","","25.140000","","","25.170000","25.190000","-0.120000","-0.190000","24.750000","25.700000","24.670000","25.700000","24.750000","0.000000","-0.950000","48.597340","47.394772","83.707865","20.482759","-0.950000","0.080000","19.061103","87.542857"
"GECCO","GECCO","GECC","","BB","8.000000","06/13/2025","6/30/2023","6/30/2026","0.360000","5.88%","24.750000","24.050000","11.54","Assetmanagement","","23.000000","","","","","","25.060000","1.010000","0.310000","25.130000","24.830000","-0.290000","0.910000","24.260000","26.550000","23.000000","26.550000","24.790000","0.530000","-1.760000","49.419589","43.495791","74.179775","31.655172","-1.760000","1.790000","28.718331","77.771429"
"GECCZ","GECCZ","GECC","","BB","8.000000","06/13/2025","9/30/2025","9/30/2028","0.540000","8.75%","","24.640000","11.54","Assetmanagement","","","","","","","","25.400000","","","","","","","","","","","25.400000","","","","","","","","","",""
"GLADZ","GLADZ","GLAD","","BB","8.000000","05/15/2025","9/1/2025","9/1/2028","0.480000","7.75%","","25.020000","22.33","Cef","","84.000000","","","","","","25.450000","0.430000","","25.540000","25.450000","-0.340000","0.020000","24.970000","25.980000","24.450000","25.980000","25.420000","0.450000","-0.560000","49.661427","46.650421","75.617978","15.103448","-0.560000","0.970000","14.411326","82.457143"
"GMRE PRA","GMRE-A","GMRE","","","8.000000","07/11/2025","9/15/2022","NONE","0.470000","7.50%","25.540000","24.460000","66.88","Reit","","51.000000","","","","","","24.910000","0.450000","-0.630000","25.060000","25.100000","-0.600000","-0.740000","23.380000","26.260000","23.320000","26.260000","24.710000","1.330000","-1.550000","50.918984","49.344262","59.797753","28.758621","-1.550000","1.390000","26.214605","80.057143"
"GNL PRA","GNL-A","GNL","","","8.000000","07/02/2025","9/12/2022","NONE","0.450000","7.25%","25.750000","16.960000","229.01","Reit","","42.000000","","","","","","","5.700000","-3.090000","22.100000","21.920000","2.540000","3.370000","19.360000","23.770000","16.420000","23.770000","22.420000","3.060000","-1.350000","35.731560","34.776252","28.696629","26.000000","-1.350000","6.000000","23.830104","53.714286"
"GNL PRB","GNL-B","GNL","","","8.000000","07/02/2025","11/26/2024","NONE","0.430000","6.88%","26.040000","16.010000","229.01","Reit","","42.000000","","","","","","","5.410000","-4.620000","21.000000","21.050000","2.000000","1.740000","18.680000","24.210000","15.610000","24.210000","21.190000","2.510000","-3.020000","38.343410","40.553833","38.584270","49.034483","-3.020000","5.580000","43.740686","56.114286"
"GNL PRD","GNL-D","GNL","","","8.000000","07/03/2025","3/26/2024","NONE","0.470000","7.50%","","17.920000","229.01","Reit","","43.000000","","","","","","","5.440000","","22.790000","22.320000","2.510000","4.660000","20.250000","24.470000","16.440000","24.470000","23.110000","2.860000","-1.360000","35.876663","30.203810","32.292135","26.137931","-1.360000","6.670000","23.949329","49.885714"
"GNL PRE","GNL-E","GNL","","","8.000000","07/03/2025","12/15/2025","NONE","0.460000","7.38%","","17.640000","229.01","Reit","","43.000000","","","","","","","4.940000","","22.430000","22.110000","0.690000","2.120000","20.290000","23.790000","16.100000","23.790000","22.340000","2.050000","-1.450000","44.679565","39.206912","46.853933","27.379310","-1.450000","6.240000","25.022355","52.342857"
"GPMT PRA","GPMT-A","GPMT","NFF","","9.500000","06/30/2025","1/15/2027","NONE","0.440000","7.00%","","","48.41","Reit","","40.000000","","","","","","","","","17.320000","16.930000","7.860000","10.360000","15.700000","18.720000","15.380000","18.720000","18.440000","2.740000","-0.280000","10.000000","10.000000","34.449438","11.241379","-0.280000","3.060000","11.073025","70.514286"
"GS PRA","GS-A","GS","FLR","","9.500000","07/24/2025","4/10/2010","NONE","0.340000","3.75%","","","306.83","Bank","","64.000000","","","","","","","","","22.790000","23.210000","-4.620000","-6.330000","20.840000","24.480000","20.000000","24.480000","21.640000","0.800000","-2.840000","70.362757","69.158175","69.325843","46.551724","-2.840000","1.640000","41.594635","78.628571"
"GS PRC","GS-C","GS","FLR","","9.500000","07/24/2025","5/24/2011","NONE","0.340000","4.00%","","","306.83","Bank","","64.000000","","","","","","","","","23.360000","23.750000","-5.550000","-7.130000","21.340000","25.030000","20.210000","25.240000","21.960000","0.620000","-3.070000","74.860943","71.993797","72.561798","49.724138","-3.280000","1.750000","46.840537","78.000000"
"GS PRD","GS-D","GS","FLR","","8.000000","07/24/2025","10/31/2010","NONE","0.330000","4.00%","","","306.83","Bank","","64.000000","","","","","","","","","22.550000","22.910000","-4.720000","-6.180000","20.950000","23.830000","19.870000","23.830000","21.390000","0.440000","-2.440000","70.846433","68.626495","75.797753","41.034483","-2.440000","1.520000","36.825633","79.314286"
"GSL PRB","GSL-B","GSL","","","10.500000","06/23/2025","8/20/2019","NONE","0.550000","8.75%","","","35.74","Marineshipping","","33.000000","","","","","","","","","26.100000","26.310000","0.400000","-0.420000","24.750000","27.280000","24.750000","28.850000","25.850000","1.100000","-1.430000","46.082225","48.210013","63.932584","27.103448","-3.000000","1.100000","43.502235","81.714286"
"HBANL","HBANL","HBAN","NFF","","8.000000","07/01/2025","4/15/2028","NONE","0.430000","6.88%","","","1455.68","Regionalbank","","41.000000","","","","","","","","","25.370000","25.430000","0.310000","0.080000","24.320000","26.610000","20.760000","26.610000","25.220000","0.900000","-1.390000","46.517533","46.437749","67.528090","26.551724","-1.390000","4.460000","24.307004","62.514286"
"HCXY","HCXY","HTGC","","BB","8.000000","07/11/2025","10/30/2023","10/30/2033","0.390000","6.25%","25.310000","23.560000","175.77","Assetmanagement","","51.000000","","","","","","","1.590000","-0.160000","24.990000","25.110000","0.630000","0.150000","24.420000","25.980000","22.700000","25.980000","24.980000","0.560000","-1.000000","44.969770","46.189632","73.640449","21.172414","-1.000000","2.280000","19.657228","74.971429"
"HNNAZ","HNNAZ","HNNA","","BB","2.500000","06/13/2025","12/31/2023","12/31/2026","0.310000","4.88%","24.590000","23.490000","7.79","Assetmanagement","","23.000000","","","","","","","1.210000","0.110000","24.490000","24.200000","0.850000","2.070000","23.700000","25.570000","21.760000","25.570000","24.470000","0.770000","-1.100000","43.905683","39.384138","69.865169","22.551724","-1.100000","2.710000","20.849478","72.514286"
"HOVNP","HOVNP","HOVN","","","7.000000","06/27/2025","7/12/2010","NONE","0.480000","7.63%","","","-","-","","37.000000","","","","","","","","","17.000000","17.600000","-3.510000","-6.800000","16.050000","18.430000","16.050000","19.890000","16.120000","0.070000","-2.310000","64.993954","70.824103","82.449438","39.241379","-3.770000","0.070000","52.682563","87.600000"
"HPP PRC","HPP-C","HPP","","","8.000000","06/16/2025","11/16/2026","NONE","0.300000","4.75%","21.920000","10.500000","141.39","Reit","","26.000000","","","","","","","2.190000","-9.230000","13.280000","13.480000","-4.450000","-5.840000","11.230000","15.570000","7.660000","15.570000","12.480000","1.250000","-3.090000","69.540508","67.421356","61.235955","50.000000","-3.090000","4.820000","44.575261","60.457143"
"HROWL","HROWL","HROW","","BB","8.000000","07/11/2025","2/1/2026","4/30/2026","0.540000","8.63%","24.390000","23.700000","36.69","Healthcare","","51.000000","","","","","","","1.570000","0.880000","25.270000","25.260000","-0.010000","0.040000","25.000000","25.730000","22.050000","25.730000","25.040000","0.040000","-0.690000","48.065296","46.579530","82.988764","16.896552","-0.690000","2.990000","15.961252","70.914286"
"HROWM","HROWM","HROW","","BB","8.000000","07/11/2025","12/31/2024","12/31/2027","0.740000","11.88%","","25.200000","36.69","Healthcare","","51.000000","","","","","","","1.010000","","26.500000","26.400000","-1.090000","-0.710000","24.900000","27.700000","22.710000","27.720000","25.890000","0.990000","-1.810000","53.288996","49.237926","65.910112","32.344828","-1.830000","3.180000","29.552906","69.828571"
"HTFB","HTFB","HRZN","","BB","8.000000","06/13/2025","3/30/2023","3/30/2026","0.310000","4.88%","24.490000","23.530000","40.36","Assetmanagement","","23.000000","","","","","","","1.480000","0.520000","24.840000","24.540000","0.680000","1.920000","24.190000","26.110000","23.000000","26.110000","24.780000","0.590000","-1.330000","44.727932","39.915817","73.101124","25.724138","-1.330000","1.780000","23.591654","77.828571"
"HTFC","HTFC","HRZN","","BB","8.000000","06/13/2025","6/15/2024","6/15/2027","0.390000","4.88%","25.250000","24.200000","40.36","Assetmanagement","","23.000000","","","","","","","0.240000","-0.810000","24.370000","24.180000","0.270000","1.080000","23.840000","24.830000","22.900000","24.830000","24.150000","0.310000","-0.680000","46.711004","42.893221","78.134831","16.758621","-0.680000","1.250000","15.842027","80.857143"
