"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm"
"APOS","APOS","APO","NFF","","13.000000","05/30/2025","12/15/2028","9/15/2053","0.480000","7.63%","","","571.72","Assetmanagement","","9.000000","","","","","","26.470000","","","26.510000","26.750000","-0.130000","-1.060000","24.890000","27.740000","24.890000","27.770000","26.040000","1.150000","-1.700000","48.645707","50.478511","63.033708","30.827586","-1.730000","1.150000","28.360656","81.428571"
"AQNB","AQNB","AQN","FF","","9.000000","06/13/2025","7/1/2024","7/1/2079","0.550000","6.20%","","","789.65","Utilities","","23.000000","","","","","","25.530000","","","25.410000","25.440000","0.490000","0.340000","24.590000","26.500000","22.710000","26.500000","25.120000","0.530000","-1.380000","45.646917","45.516172","74.179775","26.413793","-1.380000","2.410000","24.187779","74.228571"
"ARGD","ARGD","-","","BB","9.500000","05/30/2025","9/15/2017","9/15/2042","0.410000","6.50%","24.350000","21.310000","-","-","","9.000000","","","","","","20.200000","-1.110000","-4.150000","21.080000","21.800000","-4.180000","-7.320000","19.190000","22.850000","19.190000","24.240000","19.830000","0.640000","-3.020000","68.234583","72.667257","72.202247","49.034483","-4.410000","0.640000","60.312966","84.342857"
"ARGO PRA","ARGO-A","-","NFF","","8.500000","05/27/2025","9/15/2025","NONE","0.440000","7.00%","","","-","-","","6.000000","","","","","","25.210000","","","25.060000","24.890000","0.580000","1.270000","24.270000","25.360000","20.760000","25.490000","24.800000","0.530000","-0.560000","45.211608","42.219761","74.179775","15.103448","-0.690000","4.040000","15.961252","64.914286"
"ARR PRC","ARR-C","ARR","","","8.000000","05/15/2025","1/28/2025","","0.150000","7.00%","22.600000","18.060000","81.90","Reit","","84.000000","","","","","","20.600000","2.540000","-2.000000","21.260000","21.640000","-3.120000","-4.790000","19.270000","23.580000","17.850000","23.580000","20.590000","1.320000","-2.990000","63.107618","63.699601","59.977528","48.620690","-2.990000","2.740000","43.383010","72.342857"
"ASBA","ASBA","ASB","NFF","","11.000000","05/15/2025","3/1/2028","3/1/2033","0.410000","6.63%","","","165.95","Regionalbank","","84.000000","","","","","","24.210000","","","24.400000","24.030000","-0.760000","0.730000","22.990000","25.300000","18.820000","25.300000","24.180000","1.190000","-1.120000","51.692866","44.133806","62.314607","22.827586","-1.120000","5.360000","21.087928","57.371429"
"ATCO PRD","ATCO-D","-","","","8.000000","07/25/2025","1/30/2018","NONE","0.500000","7.95%","25.270000","23.860000","-","-","","65.000000","","","","","","25.090000","1.230000","-0.180000","25.060000","25.030000","0.120000","0.230000","24.140000","25.980000","22.000000","25.980000","24.950000","0.810000","-1.030000","47.436518","45.906070","69.146067","21.586207","-1.030000","2.950000","20.014903","71.142857"
"ATCO PRH","ATCO-H","-","","","8.000000","07/25/2025","8/11/2021","NONE","0.490000","7.88%","24.950000","22.380000","-","-","","65.000000","","","","","","24.970000","2.590000","0.020000","24.870000","24.860000","0.420000","0.460000","23.780000","25.490000","21.280000","25.490000","24.830000","1.050000","-0.660000","45.985490","45.090829","64.831461","16.482759","-0.660000","3.550000","15.603577","67.714286"
"ATCOL","ATCOL","-","","","8.000000","07/15/2025","5/13/2023","10/30/2027","0.450000","7.13%","","","-","-","","55.000000","","","","","","25.060000","","","24.940000","24.940000","0.500000","0.460000","22.450000","25.450000","22.450000","25.900000","24.880000","2.430000","-0.570000","45.598549","45.090829","40.022472","15.241379","-1.020000","2.430000","19.895678","74.114286"
"ATH PRA","ATH-A","-","NFF","","11.500000","06/13/2025","6/30/2029","NONE","0.400000","6.35%","","","-","-","","23.000000","","","","","","24.130000","","","24.350000","24.540000","-0.910000","-1.660000","22.000000","25.710000","19.810000","25.710000","23.830000","1.830000","-1.880000","52.418380","52.605228","50.808989","33.310345","-1.880000","4.020000","30.149031","65.028571"
