PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High
CHSCL,CHSCL,-,,,8.00,06/13/2025,1/21/2025,NONE,0.47,7.50%,27.30,25.07,-,-,,,,,,,,26.03,0.96,-1.27,25.77,25.87,1.00,0.60,25.31,26.42,24.92,26.75
CHSCM,CHSCM,-,,,8.00,06/13/2025,9/30/2024,NONE,0.42,6.75%,26.40,24.05,-,-,,,,,,,,24.90,0.85,-1.50,24.89,25.17,0.04,-1.06,23.80,26.19,23.51,26.19
CHSCN,CHSCN,-,,,8.00,06/13/2025,3/31/2024,NONE,0.44,7.10%,26.30,24.62,-,-,,,,,,,,25.52,0.90,-0.78,25.33,25.59,0.76,-0.27,24.48,26.59,24.41,26.90
CHSCO,CHSCO,-,,,8.00,06/13/2025,9/26/2023,NONE,0.49,7.88%,28.31,25.64,-,-,,,,,,,,26.29,0.65,-2.02,26.41,26.70,-0.47,-1.52,25.60,27.44,25.46,27.73
CICB,CICB,CION,,,8.00,06/12/2025,12/30/2026,12/30/2029,0.47,7.50%,,,52.69,Assetmanagement,,,,,,,,24.86,,,,,,,24.32,163.10,24.32,163.10
CIM PRB,CIM-B,CIM,FF,,8.00,06/02/2025,3/30/2024,NONE,0.65,8.00%,,,80.92,Reit,,,,,,,,25.06,,,24.47,24.76,2.41,1.20,21.60,25.59,18.83,25.59
CIM PRC,CIM-C,CIM,NFF,,8.00,06/02/2025,9/30/2025,NONE,0.48,7.75%,,,80.92,Reit,,,,,,,,22.88,,,22.86,22.75,0.11,0.56,20.26,24.60,17.11,24.60
CIM PRD,CIM-D,CIM,FF,,8.00,06/02/2025,3/30/2024,NONE,0.64,8.00%,,,80.92,Reit,,,,,,,,24.85,,,24.23,24.49,2.54,1.48,20.77,25.21,18.76,25.25
CIMN,CIMN,CIM,,BB,8.00,07/30/2025,5/15/2026,5/15/2029,0.56,9.00%,,,80.92,Reit,,,,,,,,24.65,,,,,,,23.62,25.85,23.62,25.85
CIMO,CIMO,CIM,,,8.00,07/30/2025,8/15/2026,8/15/2029,0.58,9.25%,,,80.92,Reit,,,,,,,,25.09,,,,,,,24.12,26.25,24.12,26.25
CMRE PRB,CMRE-B,CMRE,,,8.00,07/10/2025,8/6/2018,NONE,0.48,7.63%,25.18,24.82,119.96,Marineshipping,,,,,,,,24.97,0.15,-0.21,25.45,25.69,-1.89,-2.81,24.02,26.34,22.13,28.16
