"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","COM_LAST_PRICE","COM_52W_LOW","COM_52W_HIGH","COM_6M_PRICE","COM_3M_PRICE","COM_5Y_LOW","COM_5Y_HIGH","COM_MKTCAP","CRDT_SCORE","COM_FEB2020_PRICE","COM_MAR2020_PRICE","COM_5Y_LOW_CHG","COM_5Y_HIGH_CHG","COM_52W_LOW_CHG","COM_52W_HIGH_CHG","COM_6M_CHG","COM_3M_CHG","COM_FEB2020_CHG","COM_MAR2020_CHG","5Y_LOW_SKOR","5Y_HIGH_SKOR","52W_LOW_SKOR","52W_HIGH_SKOR","COM_6M_SKOR","COM_3M_SKOR","FEB2020_SKOR","MAR2020_SKOR","Normalized_5Y_LOW","Normalized_5Y_HIGH","Normalized_52W_LOW","Normalized_52W_HIGH","Normalized_COM_6M","Normalized_COM_3M","Normalized_FEB2020","Normalized_MAR2020","52W_HIGH_CHG","5Y_HIGH_CHG","52W_LOW_CHG","5Y_LOW_CHG","5Y_CHG","5Y CHG SKOR","52W_CHG","52W CHG SKOR","TOTAL_HIGH_SCORE","3M_PERF","6M_PERF","RECENT_TOTAL","MKTCAP_NORM","CRDT_NORM","SOLIDITY_SCORE","H2020_SKOR","H2020_NORM","L2020_SKOR","L2020_NORM","COM_6M_NORM","COM_3M_NORM","MKTCAP_RANGE"
"AGNCP","AGNCP","AGNC","NFF","","8.000000","07/01/2025","4/15/2025","NONE","0.380000","6.13%","","","1020.48","Reit","","41.000000","","","","","","25.000000","","","24.880000","24.520000","0.500000","1.970000","23.370000","25.480000","19.610000","25.480000","24.790000","9.170000","7.850000","10.850000","9.700000","10.470000","6.810000","18.840000","9.357802","8.000000","19.030000","9.830000","0.346549","-0.513270","0.168153","-0.154839","-0.054639","-0.124164","-0.518129","-0.067141","37.723935","43.805732","23.452229","76.064516","0.867895","-1.501359","242.784879","177.682683","50.185467","61.163189","63.187941","93.148215","64.806315","49.340222","9.528575","9.442667","-0.154839","-0.513270","0.168153","0.346549","0.346549","11.513041","0.168153","19.929036","59.935124","-0.124164","-0.054639","-0.178803","58.715604","33.029412","54.677720","36.066694","47.482833","35.926574","45.944918","69.467542","55.391851","<1B USD"
"AHL PRF","AHL-F","-","","","10.000000","06/12/2025","11/30/2029","NONE","0.610000","7.00%","","","-","-","","22.000000","","","","","","25.210000","","","","","","","21.280000","26.210000","21.280000","26.210000","24.750000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ALL PRB","ALL-B","ALL","FF","","12.500000","06/27/2025","1/15/2023","1/15/2053","0.480000","5.10%","","","264.67","Insurance","","37.000000","","","","","","25.720000","","","26.000000","26.000000","-1.090000","-1.080000","25.010000","27.000000","25.010000","27.000000","25.440000","209.950000","156.660000","212.910000","203.480000","191.600000","84.970000","212.910000","55.567467","12.500000","123.950000","73.870000","1.470872","-0.013903","0.340163","-0.013903","0.031797","0.095772","0.693828","1.842155","90.000000","88.748767","37.213073","88.748767","3.233040","4.399535","745.609984","592.516557","68.317000","1.714605","75.951953","16.360878","73.938601","70.493116","27.191872","29.153673","-0.013903","-0.013903","0.340163","1.470872","1.470872","16.765139","0.340163","31.666990","88.748767","0.095772","0.031797","0.127569","77.890795","59.235294","79.498951","63.297821","82.578370","65.825137","83.348664","77.390302","74.017898","<1B USD"
"ALL PRJ","ALL-J","ALL","","","12.000000","06/27/2025","7/15/2028","NONE","0.460000","7.38%","","25.290000","264.67","Insurance","","37.000000","","","","","","26.450000","1.160000","","26.660000","27.010000","-0.790000","-2.070000","25.560000","28.220000","25.150000","28.220000","26.180000","209.950000","156.660000","212.910000","203.480000","191.600000","84.970000","212.910000","55.567467","12.500000","123.950000","73.870000","1.470872","-0.013903","0.340163","-0.013903","0.031797","0.095772","0.693828","1.842155","90.000000","88.748767","37.213073","88.748767","3.233040","4.399535","745.609984","592.516557","68.317000","1.714605","75.951953","16.360878","73.938601","70.493116","27.191872","29.153673","-0.013903","-0.013903","0.340163","1.470872","1.470872","16.765139","0.340163","31.666990","88.748767","0.095772","0.031797","0.127569","77.890795","59.235294","79.498951","63.297821","82.578370","65.825137","83.348664","77.390302","74.017898","<1B USD"
"ALTG PRA","ALTG-A","ALTG","","","8.000000","07/11/2025","12/22/2025","NONE","0.630000","10.00%","26.750000","25.750000","33.19","Rental&leasingservices","","51.000000","","","","","","24.400000","-1.350000","-2.350000","25.070000","25.500000","-2.670000","-4.330000","23.050000","26.250000","23.050000","27.000000","24.130000","5.330000","3.540000","11.390000","7.510000","7.210000","3.540000","20.600000","0.176903","8.000000","","3.760000","0.505650","-0.741262","0.505650","-0.532046","-0.290280","-0.260749","","0.417553","50.451977","23.286408","50.451977","42.115891","-6.974914","-6.457402","","282.992535","54.834313","32.569085","83.415453","50.542571","49.637498","45.004866","","14.446509","-0.532046","-0.741262","0.505650","0.505650","0.505650","12.256255","0.505650","42.959731","32.701149","-0.260749","-0.290280","-0.551029","35.884515","33.029412","34.335326","0.000000","1.000000","29.758693","38.228765","43.195705","39.748209","<1B USD"
"ANG PRB","ANG-B","-","FF","","9.000000","05/16/2025","9/1/2025","NONE","0.410000","6.63%","","","-","-","","85.000000","","","","","","24.900000","","","25.110000","25.000000","-0.820000","-0.390000","24.550000","25.900000","22.000000","25.900000","24.880000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ANG PRD","ANG-D","-","","","9.000000","06/30/2025","1/15/2030","","0.490000","7.38%","","","-","-","","40.000000","","","","","","25.610000","","","","","","","23.540000","26.540000","23.540000","26.540000","25.340000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"AOMN","AOMN","AOMR","","BB","8.000000","07/14/2025","7/30/2026","7/30/2029","0.590000","9.50%","","","23.50","Reit","","54.000000","","","","","","24.960000","","","","","","","23.600000","26.100000","23.600000","26.100000","24.720000","10.110000","7.360000","13.320000","9.400000","10.680000","4.430000","19.000000","0.237585","8.000000","","","1.282167","-0.467895","0.373641","-0.240991","0.075532","-0.053371","","","90.000000","47.889474","39.891304","68.310811","4.429765","0.398028","","","66.564580","66.853967","77.704956","93.113014","78.559390","56.148941","","","-0.240991","-0.467895","0.373641","1.282167","1.282167","15.883633","0.373641","33.951512","58.100142","-0.053371","0.075532","0.022161","36.187925","33.029412","46.023658","0.000000","1.000000","0.000000","1.000000","81.399091","61.387225","<1B USD"
"APOS","APOS","APO","NFF","","13.000000","05/30/2025","12/15/2028","9/15/2053","0.480000","7.63%","","","571.72","Assetmanagement","","9.000000","","","","","","26.470000","","","26.510000","26.750000","-0.130000","-1.060000","24.890000","27.740000","24.890000","27.770000","26.040000","142.650000","95.110000","189.490000","165.020000","160.270000","25.560000","189.490000","81.555858","13.000000","","","4.580986","-0.247190","0.499842","-0.247190","-0.135559","-0.109939","","","90.000000","67.752916","49.987383","67.752916","-1.346322","-1.119708","","","82.921672","94.534084","83.195911","92.206356","56.256791","50.708324","","","-0.247190","-0.247190","0.499842","4.580986","4.580986","31.293548","0.499842","42.563434","67.752916","-0.109939","-0.135559","-0.245499","82.048937","62.147059","72.884722","0.000000","1.000000","0.000000","1.000000","62.050360","56.596524","<1B USD"
"AQNB","AQNB","AQN","FF","","9.000000","06/13/2025","7/1/2024","7/1/2079","0.550000","6.20%","","","789.65","Utilities","","23.000000","","","","","","25.530000","","","25.410000","25.440000","0.490000","0.340000","24.590000","26.500000","22.710000","26.500000","25.120000","5.610000","4.190000","6.750000","4.770000","4.950000","4.190000","17.860000","4.429937","9.000000","15.780000","11.250000","0.338902","-0.685890","0.338902","-0.168889","0.176101","0.133333","-0.644487","-0.501333","37.112172","28.269877","37.112172","74.800000","7.181625","5.407292","170.926726","104.181965","49.913926","39.513652","75.882787","91.339799","89.184860","74.105616","7.004333","5.950250","-0.168889","-0.685890","0.338902","0.338902","0.338902","11.477319","0.338902","31.580921","51.534938","0.133333","0.176101","0.309434","48.574843","38.852941","48.359451","34.490921","45.451974","37.173631","47.505013","90.617271","77.198863","<1B USD"
