PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group,Normalized_THG,Normalized_ADV,Raw_Size,Recommended_Shares,Scaled_Shares,Final_Shares
HFRO PRA,HFRO,,16,12/20/2024,,,0.34,5.38,23.45,17.01,15.26,-1.75,-8.19,16.11,17.91,-5.28,-14.79,14.5,21.09,14.5,21.09,28.0,15.03,0.53,-6.06,76.18,90.0,72.41,87.98,-8.42,-1.98,34.08,90.0,-6.06,0.53,87.96,87.07,19296.0,18925.0,7955.0,15392.0,54.32,0.09,464.9,2.07,702.15,7,0.7484787096014837,0.10048937947112124,618.8808435754113,600,750,500
MS PRO,MS,,11,12/27/2024,,,0.27,4.25,20.77,15.9,17.33,1.43,-3.44,18.07,18.95,-4.1,-8.57,16.82,21.47,15.7,21.47,35.0,17.16,0.34,-4.31,69.27,62.85,77.63,62.76,-3.61,1.26,48.36,60.65,-4.31,1.46,62.41,78.55,127520.0,112307.0,105343.0,115056.0,77.94,0.06,462.5,2.07,702.15,2,0.7227802076088117,0.5995512281179048,698.1344117106304,700,900,650
WFC PRZ,WFC,,11,11/27/2024,,,0.3,4.75,21.8,17.49,18.98,1.49,-2.82,19.78,20.47,-4.04,-7.3,18.45,22.29,17.33,22.29,5.0,18.7,0.25,-3.59,68.92,57.31,80.1,52.38,-3.1,1.21,43.15,61.1,-3.59,1.37,51.9,79.37,162798.0,138047.0,140938.0,147261.0,78.78,0.06,460.23,2.07,702.15,9,0.6987506683999528,0.7941232831876499,717.8251913574923,700,900,650
BAC PRP,BAC,,11,10/15/2024,,,0.26,4.12,20.8,15.57,16.57,1.0,-4.23,17.5,18.32,-5.29,-9.57,16.26,20.58,15.4,20.58,52.0,16.46,0.2,-4.12,76.24,67.22,81.48,60.02,-4.34,0.89,55.83,64.0,-4.12,1.06,59.64,82.21,64676.0,56863.0,54211.0,58584.0,78.1,0.06,460.18,2.07,702.15,2,0.6982244376340132,0.29319158886961594,617.2178678811338,600,750,500
MS PRL,MS,,11,12/27/2024,,,0.3,4.88,24.0,18.32,19.68,1.36,-4.32,20.56,21.98,-4.27,-10.48,19.34,24.49,18.15,24.49,35.0,19.5,0.16,-4.99,70.26,71.19,82.58,72.56,-4.5,1.18,57.47,61.37,-4.99,1.35,72.34,79.55,27580.0,28114.0,30060.0,28585.0,77.94,0.06,459.87,2.07,702.15,2,0.6949647581662063,0.15427429929334316,586.8266663916337,600,750,500
DTB,DTE,BB,11.5,12/27/2024,,,0.27,4.38,22.29,17.3,17.39,0.09,-4.9,18.14,19.36,-4.11,-10.16,16.98,21.9,16.98,22.86,35.0,17.23,0.25,-4.67,69.33,69.79,80.1,67.95,-5.06,-0.07,63.2,72.7,-5.63,0.25,81.68,89.63,14381.0,12277.0,11516.0,12725.0,74.39,0.06,456.44,2.07,702.15,10,0.6592394112851695,0.09029807326076976,545.4511436802895,500,600,400
WFC PRD,WFC,,11,11/27/2024,,,0.27,4.25,19.89,15.56,17.06,1.5,-2.83,17.81,18.7,-4.21,-8.79,16.53,20.8,15.47,20.8,5.0,16.8,0.27,-4.0,69.91,63.81,79.55,58.29,-3.09,1.24,43.04,60.83,-4.0,1.33,57.88,79.74,87632.0,82292.0,87871.0,85932.0,78.78,0.06,455.36,2.07,702.15,9,0.6481213280335725,0.4353196732066097,605.5609970681799,600,750,500
SCE PRL,EIX,TP,10,12/13/2024,,,0.31,5.0,20.24,16.94,16.54,-0.4,-3.7,17.32,19.21,-4.51,-13.89,15.98,21.09,15.98,21.32,21.0,16.3,0.32,-4.79,71.67,86.07,78.18,69.68,-3.94,-0.64,51.74,77.86,-5.02,0.32,72.77,88.99,44232.0,56227.0,42255.0,47571.0,56.28,0.08,453.98,2.07,702.15,2,0.634006930076671,0.2398655274120103,555.1786495437389,600,750,500
DTG,DTE,BB,11.5,11/15/2024,,,0.27,4.38,20.89,17.32,17.33,0.01,-3.56,18.13,19.43,-4.39,-10.8,16.88,22.05,16.88,22.25,83.0,17.31,0.43,-4.74,70.97,72.59,75.15,68.95,-3.58,-0.01,48.06,72.15,-4.94,0.43,71.61,87.98,21796.0,23542.0,16612.0,20650.0,74.39,0.06,453.5,2.07,702.15,9,0.6291219066269435,0.12128580144157519,527.5546855898698,500,600,400
PFH,PRU,BB,13,11/15/2024,9/1/2025,,0.26,4.13,22.61,17.35,17.14,-0.21,-5.47,17.93,19.13,-4.38,-10.41,16.84,21.59,16.84,21.59,83.0,17.12,0.28,-4.47,70.91,70.88,79.28,65.06,-5.49,-0.23,67.6,74.14,-4.47,0.28,64.74,89.36,29952.0,30035.0,27414.0,29134.0,72.85,0.06,453.18,2.07,702.15,9,0.6258722285444397,0.15662271622476465,532.0223260805047,500,600,400
