"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","CUR_YIELD","FINAL_THG","SOLIDITY_WEIGHT_USED","YIELD_WEIGHT_USED"
"NEE PRN","NEE","BB","12","11/27/2024","","","0.35","5.65","26.15","22.13","22.76","0.63","-3.39","23.23","24.21","-2.02","-5.98","22.10","25.55","21.92","25.62","5.00","22.43","0.33","-3.12","57.09","51.55","77.90","45.60","-3.72","0.30","49.49","69.34","-3.19","0.51","46.06","87.25","45087.00","51728.00","38621.00","45145.00","76.88","0.06","420.39","2.07","702.15"
"NRUC","-","BB","13","11/1/2024","","","0.34","5.50","25.22","21.75","23.94","2.19","-1.28","23.46","24.19","2.03","-1.02","22.38","25.75","21.64","25.75","69.00","23.86","1.48","-1.89","33.37","29.90","46.29","27.87","-1.36","2.11","25.35","52.94","-1.89","2.22","27.08","71.58","15049.00","18974.00","14059.00","16027.00","46.35","0.06","276.15","2.07","702.15"
"NSA PRA","NSA","","NR","12/13/2024","","","0.38","6.00","25.30","20.65","23.60","2.95","-1.70","22.28","22.79","5.94","3.54","21.12","25.20","20.16","25.20","21.00","23.31","2.19","-1.89","10.47","10.00","26.77","27.87","-1.99","2.66","31.79","47.96","-1.89","3.15","27.08","63.06","11455.00","10027.00","5869.00","9117.00","45.67","0.06","230.46","2.07","702.15"
"NTRSO","NTRS","","13","12/13/2024","","","0.29","4.70","24.85","18.30","19.66","1.53","-5.02","20.09","21.04","-1.28","-5.73","19.10","24.29","18.10","24.29","21.00","19.61","0.51","-4.68","52.75","50.46","72.96","68.09","-5.24","1.31","65.04","60.19","-4.68","1.51","67.81","78.09","25108.00","27709.00","21721.00","24846.00","70.21","0.06","407.58","2.07","702.15"
"NYMTZ","NYMT","","NR","1/2/2025","","","0.44","7.00","19.78","16.60","18.25","1.59","-1.59","18.81","19.33","-3.31","-5.92","16.75","21.75","15.31","21.75","41.00","17.95","1.20","-3.80","64.64","51.29","53.99","55.41","-1.83","1.35","30.15","59.83","-3.80","2.64","54.96","67.73","4809.00","4132.00","2503.00","3815.00","22.14","0.10","312.64","2.07","702.15"
"OPP PRA","OPP","","16","11/1/2024","","","0.27","4.38","20.87","16.98","17.60","0.62","-3.27","18.29","18.71","-3.79","-5.91","16.54","20.21","16.54","20.21","69.00","17.54","1.00","-2.67","67.45","51.24","59.48","39.12","-3.33","0.56","45.50","66.99","-2.67","1.00","38.47","82.76","4546.00","4249.00","3016.00","3937.00","58.83","0.06","363.95","2.07","702.15"
"OPP PRB","OPP","","16","11/1/2024","2/15/2027","","0.30","4.75","21.43","18.70","19.21","0.51","-2.22","19.86","20.08","-3.29","-4.31","18.34","21.86","18.31","22.31","69.00","19.14","0.80","-2.72","64.52","44.26","64.98","39.84","-2.29","0.44","34.86","68.07","-3.17","0.83","45.77","84.32","2815.00","2208.00","1772.00","2265.00","58.83","0.06","359.36","2.07","702.15"
"OZKAP","OZK","","9","11/1/2024","11/15/2026","","0.29","4.63","20.78","14.61","16.25","1.69","-4.48","16.96","17.09","-3.91","-4.65","15.75","19.88","14.37","19.88","69.00","16.23","0.48","-3.65","68.16","45.74","73.78","53.24","-4.55","1.62","57.98","57.38","-3.65","1.86","52.77","74.88","28785.00","27349.00","40225.00","32120.00","56.70","0.07","379.78","2.07","702.15"
"PEB PRE","PEB","","NR","12/27/2024","","","0.40","6.38","24.71","18.32","18.12","-0.20","-6.59","18.47","20.51","-1.89","-11.65","16.27","23.22","16.27","23.22","35.00","17.88","1.61","-5.34","56.33","76.30","42.71","77.60","-6.83","-0.44","81.30","76.05","-5.34","1.61","77.45","77.17","9528.00","10917.00","6730.00","9058.00","37.23","0.09","385.56","2.07","702.15"
"PEB PRF","PEB","","NR","12/27/2024","","","0.39","6.30","23.52","18.56","18.35","-0.21","-5.17","18.61","20.55","-1.42","-10.69","16.85","23.75","16.85","23.75","35.00","18.11","1.26","-5.64","53.57","72.11","52.34","81.93","-5.41","-0.45","66.78","76.14","-5.64","1.26","81.82","80.38","7596.00","9543.00","4934.00","7358.00","37.23","0.09","384.96","2.07","702.15"
"PEB PRG","PEB","","NR","12/27/2024","","","0.40","6.38","23.40","18.00","18.10","0.10","-5.30","18.65","20.28","-2.97","-10.75","16.60","23.18","16.60","23.18","35.00","17.86","1.26","-5.32","62.65","72.37","52.34","77.32","-5.54","-0.14","68.11","73.33","-5.32","1.26","77.15","80.38","10240.00","10645.00","14082.00","11656.00","37.23","0.09","387.79","2.07","702.15"
"PEB PRH","PEB","","NR","12/27/2024","","","0.36","5.70","21.01","16.38","16.95","0.57","-4.06","17.06","18.38","-0.65","-7.80","15.51","21.12","15.02","21.12","35.00","16.73","1.22","-4.39","49.06","59.49","53.44","63.91","-4.28","0.35","55.22","68.89","-4.39","1.71","63.58","76.25","11479.00","7684.00","4435.00","7866.00","37.23","0.08","345.58","2.07","702.15"
"PFH","PRU","BB","13","11/15/2024","9/1/2025","","0.26","4.13","22.61","17.35","17.14","-0.21","-5.47","17.93","19.13","-4.38","-10.41","16.84","21.59","16.84","21.59","83.00","17.12","0.28","-4.47","70.91","70.88","79.28","65.06","-5.49","-0.23","67.60","74.14","-4.47","0.28","64.74","89.36","29952.00","30035.00","27414.00","29134.00","72.85","0.06","453.18","2.07","702.15"
"PRH","PRU","BB","13","11/15/2024","","","0.37","5.95","","23.79","24.64","0.85","","24.88","25.57","-0.97","-3.64","23.59","26.89","23.17","26.95","83.00","24.61","1.02","-2.28","50.94","41.34","58.93","33.50","","0.82","34.08","64.63","-2.34","1.44","33.65","78.73","18740.00","23830.00","21828.00","21466.00","72.85","0.06","370.23","2.07","702.15"
"PRS","PRU","BB","13","11/1/2024","8/15/2023","","0.35","5.63","26.16","22.52","23.03","0.51","-3.13","23.36","24.23","-1.40","-4.94","22.35","25.42","22.31","25.42","69.00","22.95","0.60","-2.47","53.46","47.01","70.48","36.23","-3.21","0.43","44.27","68.17","-2.47","0.64","35.55","86.06","28435.00","31789.00","26744.00","28990.00","72.85","0.06","390.40","2.07","702.15"
"PSA PRF","PSA","","13.5","12/12/2024","","","0.32","5.15","25.84","20.87","20.92","0.05","-4.92","21.49","22.90","-2.67","-8.66","19.87","25.11","19.87","25.11","20.00","20.67","0.80","-4.44","60.89","63.25","64.98","64.63","-5.17","-0.20","64.32","73.87","-4.44","0.80","64.31","84.59","18536.00","17476.00","11441.00","15818.00","73.05","0.06","429.42","2.07","702.15"
"PSA PRG","PSA","","13.5","12/12/2024","","","0.32","5.05","25.87","21.11","20.85","-0.25","-5.01","21.35","22.71","-2.28","-8.14","19.99","25.00","19.99","25.06","20.00","20.61","0.62","-4.39","58.61","60.98","69.93","63.91","-5.26","-0.50","65.24","76.59","-4.45","0.62","64.45","86.24","16847.00","17527.00","13878.00","16084.00","73.05","0.06","429.34","2.07","702.15"
"PSA PRH","PSA","","13.5","12/12/2024","","","0.35","5.60","26.96","22.76","22.80","0.04","-4.16","23.36","24.39","-2.38","-6.51","20.85","25.70","20.85","26.10","20.00","22.53","1.68","-3.17","59.19","53.86","40.79","46.32","-4.43","-0.23","56.75","74.14","-3.57","1.68","51.61","76.53","19284.00","21737.00","13966.00","18329.00","73.05","0.06","396.63","2.07","702.15"
"PSA PRI","PSA","","13.5","12/12/2024","","","0.30","4.88","25.80","19.44","19.67","0.23","-6.13","20.33","21.65","-3.25","-9.16","19.08","23.72","19.08","23.94","20.00","19.44","0.36","-4.28","64.29","65.43","77.08","62.32","-6.36","0.00","76.50","72.06","-4.50","0.36","65.18","88.63","16988.00","13804.00","8882.00","13225.00","73.05","0.06","439.74","2.07","702.15"
"PSA PRJ","PSA","","13.5","12/12/2024","","","0.29","4.70","25.08","18.25","18.93","0.68","-6.15","19.53","20.74","-3.08","-8.72","18.33","23.21","17.94","23.21","20.00","18.70","0.37","-4.51","63.29","63.51","76.80","65.64","-6.38","0.45","76.70","67.98","-4.51","0.76","65.33","84.96","14638.00","16283.00","7618.00","12846.00","73.05","0.06","435.61","2.07","702.15"
"PSA PRK","PSA","","13.5","12/12/2024","","","0.30","4.75","25.80","18.40","19.31","0.91","-6.49","19.75","20.93","-2.25","-7.74","18.57","23.21","18.16","23.21","20.00","19.08","0.51","-4.13","58.43","59.23","72.96","60.16","-6.72","0.68","80.18","65.90","-4.13","0.92","59.78","83.49","16246.00","17808.00","33947.00","22667.00","73.05","0.06","425.40","2.07","702.15"
"PSA PRL","PSA","","13.5","12/12/2024","","","0.29","4.63","24.84","18.17","18.86","0.69","-5.98","19.31","20.43","-2.35","-7.70","17.52","22.89","17.52","22.89","20.00","18.63","1.11","-4.26","59.02","59.06","56.46","62.04","-6.21","0.46","74.96","67.89","-4.26","1.11","61.68","81.75","30601.00","27957.00","16492.00","25017.00","73.05","0.06","420.74","2.07","702.15"
"PSA PRM","PSA","","13.5","12/12/2024","","","0.26","4.13","22.79","16.05","16.85","0.80","-5.94","17.31","18.41","-2.68","-8.46","16.28","20.79","15.82","20.79","20.00","16.65","0.37","-4.14","60.95","62.37","76.80","60.31","-6.14","0.60","74.25","66.63","-4.14","0.83","59.93","84.32","9362.00","8612.00","6807.00","8260.00","73.05","0.06","427.14","2.07","702.15"
"PSA PRN","PSA","","13.5","12/12/2024","","","0.24","3.88","21.02","15.12","15.76","0.64","-5.26","16.21","17.14","-2.76","-8.08","15.36","19.23","14.90","19.23","20.00","15.57","0.21","-3.66","61.42","60.71","81.20","53.39","-5.45","0.45","67.19","67.98","-3.66","0.67","52.92","85.78","15330.00","18891.00","11771.00","15331.00","73.05","0.06","424.17","2.07","702.15"
"PSA PRO","PSA","","13.5","12/12/2024","11/17/2025","","0.24","3.90","20.29","15.53","15.90","0.37","-4.39","16.29","17.21","-2.42","-7.63","15.40","19.13","15.10","19.14","20.00","15.71","0.31","-3.42","59.43","58.75","78.45","49.93","-4.58","0.18","58.29","70.43","-3.43","0.61","49.56","86.33","14045.00","13820.00","6927.00","11597.00","73.05","0.06","416.40","2.07","702.15"
"PSA PRP","PSA","","13.5","12/12/2024","","","0.25","4.00","20.88","15.54","16.10","0.56","-4.78","16.68","17.71","-3.46","-9.08","15.39","19.99","15.37","19.99","20.00","15.91","0.52","-4.08","65.52","65.08","72.68","59.44","-4.97","0.37","62.28","68.71","-4.08","0.54","59.05","86.98","38651.00","33939.00","34308.00","35633.00","73.05","0.06","436.81","2.07","702.15"
"PSA PRQ","PSA","","13.5","12/12/2024","","","0.25","3.95","20.84","15.31","15.89","0.58","-4.95","16.39","17.41","-3.05","-8.72","15.43","19.47","15.17","19.47","20.00","15.70","0.27","-3.77","63.12","63.51","79.55","54.97","-5.14","0.39","64.02","68.53","-3.77","0.53","54.53","87.07","12144.00","12882.00","10315.00","11781.00","73.05","0.06","427.53","2.07","702.15"
"PSA PRR","PSA","","13.5","12/12/2024","","","0.25","4.00","20.78","15.59","16.12","0.53","-4.66","16.64","17.77","-3.11","-9.26","15.68","20.16","15.38","20.16","20.00","15.93","0.25","-4.23","63.47","65.86","80.10","61.60","-4.85","0.34","61.05","68.98","-4.23","0.55","61.24","86.88","27999.00","27763.00","22875.00","26212.00","73.05","0.06","437.87","2.07","702.15"
"PSA PRS","PSA","","13.5","12/12/2024","","","0.26","4.10","21.15","15.83","16.53","0.71","-4.61","17.04","18.17","-2.95","-9.00","14.18","20.47","14.18","20.47","20.00","16.34","2.16","-4.13","62.53","64.73","27.59","60.16","-4.81","0.51","60.64","67.44","-4.13","2.16","59.78","72.13","16958.00","18837.00","10119.00","15305.00","73.05","0.06","407.40","2.07","702.15"
"PSEC PRA","PSEC","","9","10/16/2024","7/19/2026","","0.33","5.35","19.55","15.21","17.29","2.09","-2.25","16.32","17.67","6.02","-2.09","14.58","21.54","14.04","21.54","53.00","17.16","2.58","-4.38","10.00","34.57","16.05","63.77","-2.39","1.95","35.88","54.39","-4.38","3.12","63.43","63.33","9060.00","9133.00","6375.00","8190.00","40.08","0.08","278.99","2.07","702.15"
"REGCO","REG","","NR","10/16/2024","","","0.37","5.88","","21.85","22.80","0.92","","22.47","22.72","1.33","0.20","21.43","24.70","21.20","24.90","53.00","22.62","1.19","-2.08","37.47","24.58","54.26","30.61","","0.77","34.08","65.08","-2.28","1.42","32.77","78.91","6036.00","5314.00","2595.00","4648.00","61.83","0.06","317.31","2.07","702.15"
"REGCP","REG","","NR","10/16/2024","","","0.39","6.25","","23.10","23.68","0.22","","23.47","23.73","-0.64","-1.74","21.88","25.63","21.88","25.63","53.00","23.16","1.28","-2.47","49.00","33.04","51.79","36.23","","0.06","34.08","71.52","-2.47","1.28","35.55","80.19","5509.00","5609.00","1200.00","4106.00","61.83","0.07","343.44","2.07","702.15"
"REXR PRB","REXR","","NR","12/13/2024","","","0.37","5.88","25.39","21.16","23.03","1.87","-2.36","23.10","22.76","-0.30","1.18","22.21","24.57","20.60","24.57","21.00","22.75","0.54","-1.82","47.01","20.30","72.13","26.86","-2.64","1.59","38.44","57.66","-1.82","2.15","26.06","72.22","5665.00","5222.00","2869.00","4585.00","45.08","0.06","282.63","2.07","702.15"
"REXR PRC","REXR","","NR","11/15/2024","","","0.35","5.63","26.10","20.05","21.85","1.80","-4.25","21.75","21.95","0.44","-0.48","20.13","24.54","19.71","24.54","83.00","21.82","1.69","-2.72","42.68","27.55","40.52","39.84","-4.28","1.77","55.22","56.02","-2.72","2.11","39.20","72.59","8159.00","6092.00","2762.00","5671.00","45.08","0.06","287.47","2.07","702.15"
"RF PRE","RF","","10","11/27/2024","","","0.28","4.45","20.69","15.45","17.41","1.96","-3.28","17.66","18.23","-1.42","-4.50","16.41","19.98","14.16","19.98","5.00","17.15","0.74","-2.83","53.57","45.09","66.63","41.42","-3.54","1.70","47.65","56.66","-2.83","2.99","40.80","64.52","28445.00","28875.00","28322.00","28547.00","61.71","0.06","355.68","2.07","702.15"
"RNR PRF","RNR","","12","11/27/2024","","","0.36","5.75","25.11","20.71","21.11","0.40","-4.00","22.03","23.26","-4.20","-9.26","20.80","25.08","20.43","25.10","5.00","20.77","-0.03","-4.31","69.85","65.86","87.80","62.76","-4.34","0.06","55.83","71.52","-4.33","0.34","62.70","88.81","14682.00","16324.00","18867.00","16624.00","65.10","0.07","434.20","2.07","702.15"
"RNR PRG","RNR","","12","11/27/2024","","","0.26","4.20","20.02","15.35","15.60","0.25","-4.42","16.18","17.43","-3.57","-10.51","14.26","18.97","14.26","19.46","5.00","15.35","1.09","-3.62","66.16","71.32","57.01","52.81","-4.67","0.00","59.21","72.06","-4.11","1.09","59.49","81.94","32448.00","31493.00","44309.00","36084.00","65.10","0.07","424.27","2.07","702.15"
"SCE PRG","EIX","TP","10","12/13/2024","","","0.32","5.10","20.73","17.20","16.95","-0.25","-3.78","17.70","19.62","-4.23","-13.61","16.32","21.69","16.32","21.70","21.00","16.70","0.38","-4.99","70.03","84.85","76.53","72.56","-4.03","-0.50","52.66","76.59","-5.00","0.38","72.48","88.44","17094.00","23475.00","11355.00","17308.00","56.28","0.08","444.18","2.07","702.15"
"SCE PRL","EIX","TP","10","12/13/2024","","","0.31","5.00","20.24","16.94","16.54","-0.40","-3.70","17.32","19.21","-4.51","-13.89","15.98","21.09","15.98","21.32","21.00","16.30","0.32","-4.79","71.67","86.07","78.18","69.68","-3.94","-0.64","51.74","77.86","-5.02","0.32","72.77","88.99","44232.00","56227.00","42255.00","47571.00","56.28","0.08","453.98","2.07","702.15"
"SCHW PRD","SCHW","","12","11/13/2024","","","0.37","5.95","25.94","22.65","24.75","2.10","-1.19","25.05","25.18","-1.21","-1.69","24.25","25.71","22.29","25.71","81.00","24.71","0.46","-1.00","52.34","32.83","74.33","15.05","-1.23","2.06","24.02","53.40","-1.00","2.42","14.09","69.75","40662.00","46914.00","48043.00","45206.00","80.76","0.06","368.62","2.07","702.15"
"SCHW PRJ","SCHW","","12","11/13/2024","","","0.28","4.45","23.40","16.75","19.13","2.38","-4.27","19.47","20.38","-1.75","-6.12","18.33","22.60","16.63","22.60","81.00","19.10","0.77","-3.50","55.51","52.16","65.81","51.08","-4.30","2.35","55.42","50.77","-3.50","2.47","50.58","69.29","52556.00","56441.00","59038.00","56012.00","80.76","0.06","417.47","2.07","702.15"
"SF PRB","SF","","8","12/2/2024","","","0.39","6.25","26.94","22.01","24.30","2.29","-2.64","24.19","24.57","0.44","-1.10","22.22","25.44","21.56","25.73","10.00","23.95","1.73","-1.49","42.68","30.25","39.42","22.11","-2.99","1.94","42.02","54.48","-1.78","2.39","25.47","70.02","6588.00","6762.00","10597.00","7982.00","56.46","0.06","298.75","2.07","702.15"
"SF PRC","SF","","8","12/2/2024","","","0.38","6.13","27.00","22.12","23.67","1.56","-3.32","24.01","24.53","-1.37","-3.45","21.81","26.47","21.27","26.47","10.00","23.34","1.53","-3.13","53.28","40.51","44.91","45.75","-3.66","1.22","48.87","61.01","-3.13","2.07","45.18","72.96","11320.00","10816.00","16025.00","12721.00","56.46","0.06","337.18","2.07","702.15"
"SF PRD","SF","","8","12/2/2024","","","0.28","4.50","20.54","15.64","18.12","2.48","-2.42","17.70","18.62","2.34","-2.70","15.85","21.74","15.00","21.74","10.00","17.87","2.02","-3.87","31.55","37.23","31.44","56.41","-2.67","2.23","38.75","51.86","-3.87","2.87","55.99","65.62","19338.00","15680.00","24017.00","19678.00","56.46","0.06","317.90","2.07","702.15"
"SHO PRH","SHO","","NR","12/27/2024","","","0.38","6.13","23.75","20.40","20.87","0.47","-2.88","20.86","21.73","0.05","-3.96","19.14","24.27","19.14","24.27","35.00","20.64","1.50","-3.63","44.96","42.73","45.74","52.95","-3.11","0.24","43.25","69.89","-3.63","1.50","52.48","78.18","7482.00","9213.00","4212.00","6969.00","44.12","0.07","323.68","2.07","702.15"
"SHO PRI","SHO","","NR","12/27/2024","","","0.36","5.70","22.98","19.43","19.85","0.43","-3.12","19.77","20.47","0.47","-2.98","17.96","22.79","17.96","22.79","35.00","19.64","1.68","-3.15","42.50","38.46","40.79","46.04","-3.34","0.21","45.60","70.16","-3.15","1.68","45.47","76.53","7604.00","8216.00","3548.00","6456.00","44.12","0.07","311.44","2.07","702.15"
"SIGIP","SIGI","","10","11/27/2024","","","0.29","4.60","20.74","15.48","17.20","1.81","-3.45","17.79","18.45","-2.79","-6.31","16.82","20.30","15.17","20.30","5.00","17.02","0.20","-3.28","61.60","52.99","81.48","47.91","-3.72","1.54","49.49","58.11","-3.28","1.85","47.37","74.97","5179.00","5137.00","2252.00","4189.00","57.82","0.07","375.44","2.07","702.15"
"SLG PRI","SLG","","9.5","12/17/2024","","","0.41","6.50","25.67","18.15","22.05","3.90","-3.62","22.66","22.77","-2.70","-3.15","21.09","24.87","15.26","24.87","25.00","21.75","0.66","-3.12","61.07","39.20","68.83","45.60","-3.92","3.60","51.53","39.45","-3.12","6.49","45.04","32.45","14893.00","11820.00","6441.00","11052.00","29.95","0.07","277.11","2.07","702.15"
"SOJC","SO","BB","11.5","11/29/2024","","","0.33","5.25","25.69","20.75","21.59","0.84","-4.10","21.94","23.09","-1.62","-6.51","21.10","25.07","20.35","25.07","7.00","21.29","0.19","-3.78","54.74","53.86","81.75","55.12","-4.40","0.54","56.45","67.17","-3.78","0.94","54.67","83.31","24535.00","24790.00","15262.00","21529.00","79.52","0.06","427.17","2.07","702.15"
"SOJD","SO","BB","11.5","10/29/2024","","","0.31","4.95","23.86","19.45","20.11","0.66","-3.75","20.65","21.84","-2.62","-7.94","19.26","24.55","19.26","24.55","66.00","20.03","0.77","-4.52","60.60","60.10","65.81","65.78","-3.83","0.58","50.61","66.81","-4.52","0.77","65.47","84.87","81202.00","81674.00","69241.00","77372.00","79.52","0.06","451.71","2.07","702.15"
"SOJE","SO","BB","11.5","1/10/2025","","","0.26","4.20","20.96","17.42","17.64","0.19","-3.35","18.27","19.62","-3.61","-10.22","17.28","22.35","17.28","22.35","49.00","17.49","0.21","-4.86","66.40","70.05","81.20","70.68","-3.47","0.07","46.93","71.43","-4.86","0.21","70.44","90.00","54164.00","56350.00","40130.00","50214.00","79.52","0.06","469.21","2.07","702.15"
"SR PRA","SR","","11","10/25/2024","8/15/2024","","0.37","5.90","26.15","21.87","24.09","2.22","-2.06","24.31","24.34","-0.89","-1.02","23.20","25.39","21.36","25.39","62.00","23.97","0.77","-1.42","50.47","29.90","65.81","21.10","-2.18","2.10","33.73","53.04","-1.42","2.61","20.22","68.01","18184.00","17293.00","11891.00","15789.00","62.29","0.06","321.41","2.07","702.15"
"SREA","SRE","BB","11.5","12/13/2024","","","0.36","5.75","25.24","21.16","20.50","-0.66","-4.74","21.97","23.42","-6.69","-12.48","19.60","25.24","19.60","25.47","21.00","20.22","0.62","-5.02","84.44","79.92","69.93","72.99","-5.02","-0.94","62.79","80.58","-5.25","0.62","76.13","86.24","55902.00","62776.00","57957.00","58878.00","71.57","0.07","484.68","2.07","702.15"
"STT PRG","STT","","13","11/27/2024","","","0.33","5.35","26.90","21.63","22.28","0.65","-4.62","23.10","24.00","-3.54","-7.17","21.62","25.16","21.42","25.16","5.00","21.97","0.35","-3.19","65.99","56.74","77.35","46.61","-4.93","0.34","61.87","68.98","-3.19","0.55","46.06","86.88","39771.00","44818.00","30672.00","38420.00","74.21","0.06","425.25","2.07","702.15"
"SYF PRA","SYF","","NR","10/30/2024","11/15/2024","","0.35","5.63","22.14","15.28","17.81","2.53","-4.33","18.46","19.26","-3.54","-7.53","16.19","21.94","14.51","21.94","67.00","17.72","1.53","-4.22","65.99","58.31","44.91","61.46","-4.42","2.44","56.65","49.95","-4.22","3.21","61.09","62.51","54772.00","57123.00","50769.00","54221.00","59.72","0.08","396.43","2.07","702.15"
"T PRA","T","","10","1/7/2025","12/12/2024","","0.31","5.00","23.49","18.31","20.11","1.80","-3.38","20.56","21.21","-2.17","-5.19","19.15","22.78","18.20","22.80","46.00","19.96","0.81","-2.82","57.96","48.10","64.71","41.28","-3.53","1.65","47.54","57.11","-2.84","1.76","40.95","75.80","100893.00","96623.00","97522.00","98346.00","77.71","0.06","415.79","2.07","702.15"
"T PRC","T","","10","1/7/2025","2/18/2025","","0.30","4.75","21.55","17.25","19.13","1.88","-2.42","19.39","20.08","-1.32","-4.71","18.20","21.71","17.02","21.71","46.00","18.98","0.78","-2.73","52.99","46.01","65.53","39.98","-2.57","1.73","37.72","56.39","-2.73","1.96","39.34","73.96","124962.00","134449.00","118579.00","125997.00","77.71","0.06","414.38","2.07","702.15"
"TBB","T","BB","12","10/17/2024","","","0.33","5.35","24.98","20.32","22.08","1.76","-2.90","23.35","23.54","-5.44","-6.22","21.75","24.90","20.26","24.90","54.00","21.95","0.20","-2.95","77.12","52.60","81.48","43.15","-3.03","1.63","42.43","57.29","-2.95","1.69","42.55","76.44","76584.00","64515.00","69405.00","70168.00","79.27","0.06","434.03","2.07","702.15"
"TCBIO","TCBI","","8","12/2/2024","6/15/2026","","0.36","5.75","24.50","16.01","20.03","4.02","-4.47","20.21","20.26","-0.91","-1.12","18.11","22.71","15.52","22.71","10.00","19.71","1.60","-3.00","50.59","30.34","42.99","43.87","-4.79","3.70","60.43","38.54","-3.00","4.19","43.28","53.53","21880.00","18751.00","11873.00","17501.00","51.08","0.07","308.05","2.07","702.15"
"TDS PRU","TDS","","7","12/13/2024","","","0.41","6.63","24.25","14.26","21.02","6.76","-3.23","20.93","20.64","0.44","1.84","18.71","22.88","12.00","22.88","21.00","20.71","2.00","-2.17","42.68","17.42","31.99","31.91","-3.54","6.45","47.65","13.62","-2.17","8.71","31.17","12.11","25566.00","23537.00","13813.00","20972.00","50.21","0.08","257.76","2.07","702.15"
"TDS PRV","TDS","","7","12/13/2024","9/30/2026","","0.38","6.00","22.28","12.88","18.77","5.89","-3.51","18.34","18.31","2.32","2.49","16.25","20.48","10.79","20.48","21.00","18.48","2.23","-2.00","31.67","14.58","25.67","29.46","-3.80","5.60","50.31","21.33","-2.00","7.69","28.69","21.45","44755.00","41217.00","31995.00","39322.00","50.21","0.08","256.14","2.07","702.15"
"TFC PRO","TFC","","11.5","11/8/2024","","","0.33","5.25","25.20","19.78","21.01","1.23","-4.19","21.76","22.53","-3.44","-6.75","19.69","24.83","19.43","24.83","76.00","20.96","1.27","-3.87","65.40","54.91","52.06","56.41","-4.24","1.18","54.81","61.37","-3.87","1.53","55.99","77.90","45869.00","43984.00","43017.00","44290.00","66.71","0.06","399.77","2.07","702.15"
"TFC PRR","TFC","","11.5","11/8/2024","","","0.30","4.75","22.49","17.71","18.84","1.13","-3.65","19.79","20.39","-4.80","-7.60","18.41","22.62","17.29","22.62","76.00","18.79","0.38","-3.83","73.37","58.62","76.53","55.84","-3.70","1.08","49.28","62.28","-3.83","1.50","55.40","78.18","68071.00","70902.00","83382.00","74118.00","66.71","0.06","422.95","2.07","702.15"
"TRTN PRD","-","","NR","12/6/2024","3/15/2025","","0.43","6.88","25.95","21.62","21.42","-0.19","-4.52","22.35","23.41","-4.10","-8.48","19.76","25.67","19.76","25.67","14.00","21.07","1.31","-4.60","69.27","62.46","50.96","66.94","-4.88","-0.55","61.36","77.04","-4.60","1.31","66.64","79.92","9966.00","9231.00","11072.00","10090.00","45.05","0.08","383.66","2.07","702.15"
"TRTN PRE","-","","NR","12/6/2024","","","0.36","5.75","23.79","17.80","18.80","1.00","-4.99","19.18","20.60","-1.99","-8.75","16.90","23.30","16.90","23.30","14.00","18.50","1.60","-4.80","56.91","63.64","42.99","69.82","-5.29","0.70","65.55","65.72","-4.80","1.60","69.56","77.26","7508.00","8132.00","7589.00","7743.00","45.05","0.08","371.89","2.07","702.15"
"TRTX PRC","TRTX","","NR","12/16/2024","6/14/2026","","0.39","6.25","18.83","13.81","18.08","4.26","-0.76","17.79","18.00","1.56","0.40","16.01","20.00","13.00","20.00","24.00","17.78","1.77","-2.22","36.12","23.70","38.32","32.63","-1.05","3.97","22.17","36.09","-2.22","4.78","31.90","48.12","8433.00","7232.00","6223.00","7296.00","42.78","0.09","268.39","2.07","702.15"
"TY PR","TY","","NR","12/5/2024","","","0.31","5.00","50.11","43.50","43.98","0.48","-6.13","44.83","45.84","-1.90","-4.07","43.55","49.16","42.00","49.19","13.00","43.71","0.16","-5.45","56.38","43.21","82.58","79.19","-6.40","0.21","76.91","70.16","-5.48","1.71","79.49","76.25","622.00","590.00","753.00","655.00","51.97","0.03","354.25","2.07","702.15"
"UNMA","UNM","BB","10","11/29/2024","","","0.39","6.25","26.19","21.92","24.56","2.64","-1.63","24.55","24.92","0.04","-1.43","23.13","26.05","21.49","26.05","7.00","24.20","1.07","-1.85","45.02","31.69","57.56","27.30","-1.99","2.28","31.79","51.40","-1.85","2.71","26.50","67.09","12796.00","15484.00","6617.00","11632.00","68.36","0.06","331.50","2.07","702.15"
"USB PRQ","USB","","13.5","12/27/2024","","","0.23","3.75","19.57","13.50","15.42","1.92","-4.15","15.92","16.78","-3.16","-8.09","14.66","18.60","13.32","18.60","35.00","15.28","0.62","-3.32","63.76","60.76","69.93","48.49","-4.29","1.78","55.32","55.93","-3.32","1.96","47.96","73.96","41910.00","37987.00","34377.00","38091.00","73.33","0.06","413.54","2.07","702.15"
