PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price
PSA PRI,PSA,,13.5,12/12/2024,,,0.3,4.88%,25.8,19.44
PSA PRJ,PSA,,13.5,12/12/2024,,,0.29,4.70%,25.08,18.25
PSA PRK,PSA,,13.5,12/12/2024,,,0.3,4.75%,25.8,18.4
PSA PRL,PSA,,13.5,12/12/2024,,,0.29,4.63%,24.84,18.17
PSA PRM,PSA,,13.5,12/12/2024,,,0.26,4.13%,22.79,16.05
PSA PRN,PSA,,13.5,12/12/2024,,,0.24,3.88%,21.02,15.12
PSA PRO,PSA,,13.5,12/12/2024,11/17/2025,,0.24,3.90%,20.29,15.53
PSA PRP,PSA,,13.5,12/12/2024,,,0.25,4.00%,20.88,15.54
PSA PRQ,PSA,,13.5,12/12/2024,,,0.25,3.95%,20.84,15.31
PSA PRR,PSA,,13.5,12/12/2024,,,0.25,4.00%,20.78,15.59
PSA PRS,PSA,,13.5,12/12/2024,,,0.26,4.10%,21.15,15.83
PSEC PRA,PSEC,,9,10/16/2024,7/19/2026,,0.33,5.35%,19.55,15.21
REGCO,REG,,NR,10/16/2024,,,0.37,5.88%,,21.85
REGCP,REG,,NR,10/16/2024,,,0.39,6.25%,,23.1
REXR PRB,REXR,,NR,12/13/2024,,,0.37,5.88%,25.39,21.16
REXR PRC,REXR,,NR,11/15/2024,,,0.35,5.63%,26.1,20.05
RF PRE,RF,,10,11/27/2024,,,0.28,4.45%,20.69,15.45
RNR PRF,RNR,,12,11/27/2024,,,0.36,5.75%,25.11,20.71
RNR PRG,RNR,,12,11/27/2024,,,0.26,4.20%,20.02,15.35
SCE PRG,EIX,TP,10,12/13/2024,,,0.32,5.10%,20.73,17.2
SCE PRL,EIX,TP,10,12/13/2024,,,0.31,5.00%,20.24,16.94
SCHW PRD,SCHW,,12,11/13/2024,,,0.37,5.95%,25.94,22.65
SCHW PRJ,SCHW,,12,11/13/2024,,,0.28,4.45%,23.4,16.75
SF PRB,SF,,8,12/2/2024,,,0.39,6.25%,26.94,22.01
SF PRC,SF,,8,12/2/2024,,,0.38,6.13%,27.0,22.12
SF PRD,SF,,8,12/2/2024,,,0.28,4.50%,20.54,15.64
SHO PRH,SHO,,NR,12/27/2024,,,0.38,6.13%,23.75,20.4
SHO PRI,SHO,,NR,12/27/2024,,,0.36,5.70%,22.98,19.43
SIGIP,SIGI,,10,11/27/2024,,,0.29,4.60%,20.74,15.48
SLG PRI,SLG,,9.5,12/17/2024,,,0.41,6.50%,25.67,18.15
SOJC,SO,BB,11.5,11/29/2024,,,0.33,5.25%,25.69,20.75
SOJD,SO,BB,11.5,10/29/2024,,,0.31,4.95%,23.86,19.45
SOJE,SO,BB,11.5,1/10/2025,,,0.26,4.20%,20.96,17.42
SR PRA,SR,,11,10/25/2024,8/15/2024,,0.37,5.90%,26.15,21.87
SREA,SRE,BB,11.5,12/13/2024,,,0.36,5.75%,25.24,21.16
STT PRG,STT,,13,11/27/2024,,,0.33,5.35%,26.9,21.63
SYF PRA,SYF,,NR,10/30/2024,11/15/2024,,0.35,5.63%,22.14,15.28
T PRA,T,,10,1/7/2025,12/12/2024,,0.31,5.00%,23.49,18.31
T PRC,T,,10,1/7/2025,2/18/2025,,0.3,4.75%,21.55,17.25
TBB,T,BB,12,10/17/2024,,,0.33,5.35%,24.98,20.32
TBC,T,BB,12,10/17/2024,8/1/2023,,0.35,5.63%,,
TCBIO,TCBI,,8,12/2/2024,6/15/2026,,0.36,5.75%,24.5,16.01
TDS PRU,TDS,,7,12/13/2024,,,0.41,6.63%,24.25,14.26
TDS PRV,TDS,,7,12/13/2024,9/30/2026,,0.38,6.00%,22.28,12.88
TFC PRO,TFC,,11.5,11/8/2024,,,0.33,5.25%,25.2,19.78
TFC PRR,TFC,,11.5,11/8/2024,,,0.3,4.75%,22.49,17.71
TRTN PRD,-,,NR,12/6/2024,3/15/2025,,0.43,6.88%,25.95,21.62
TRTN PRE,-,,NR,12/6/2024,,,0.36,5.75%,23.79,17.8
TRTX PRC,TRTX,,NR,12/16/2024,6/14/2026,,0.39,6.25%,18.83,13.81
TY PR,TY,,NR,12/5/2024,,,0.31,5.00%,50.11,43.5
UNMA,UNM,BB,10,11/29/2024,,,0.39,6.25%,26.19,21.92
USB PRP,USB,,13.5,12/30/2024,,,0.34,5.50%,25.25,19.75
USB PRQ,USB,,13.5,12/27/2024,,,0.23,3.75%,19.57,13.5
USB PRR,USB,,13.5,12/27/2024,,,0.25,4.00%,21.05,14.57
USB PRS,USB,,13.5,12/27/2024,,,0.28,4.50%,22.08,16.44
UZD,USM,BB,9.5,11/29/2024,9/1/2025,,0.39,6.25%,24.16,16.77
UZE,USM,BB,9.5,11/29/2024,,,0.34,5.50%,21.8,14.93
UZF,USM,BB,9.5,11/29/2024,6/1/2026,,0.34,5.50%,21.75,15.44
VNO PRL,VNO,,10.5,12/13/2024,,,0.34,5.40%,24.16,13.75
VNO PRM,VNO,,10.5,12/13/2024,,,0.33,5.25%,23.4,13.71
VNO PRN,VNO,,10.5,12/13/2024,,,0.33,5.25%,22.92,13.76
VNO PRO,VNO,,10.5,12/13/2024,,,0.28,4.50%,19.7,11.6
WAFDP,WAFD,,10,12/27/2024,4/15/2026,,0.3,4.88%,22.2,12.6
WBS PRF,WBS,,10,12/2/2024,,,0.33,5.25%,24.4,15.52
WFC PRA,WFC,,11,11/27/2024,12/15/2025,,0.29,4.70%,21.54,17.53
WFC PRC,WFC,,11,11/27/2024,,,0.27,4.38%,20.19,16.05
WFC PRD,WFC,,11,11/27/2024,,,0.27,4.25%,19.89,15.56
WFC PRY,WFC,,11,11/27/2024,,,0.35,5.63%,25.36,21.19
WFC PRZ,WFC,,11,11/27/2024,,,0.3,4.75%,21.8,17.49
WRB PRE,WRB,BB,11.5,12/13/2024,,,0.36,5.70%,25.59,21.77
WRB PRF,WRB,BB,11.5,12/13/2024,,,0.32,5.10%,24.51,18.93
WRB PRG,WRB,BB,11.5,12/13/2024,,,0.27,4.25%,21.25,17.35
WRB PRH,WRB,BB,11.5,12/13/2024,,,0.26,4.13%,20.85,15.6
